# Assembly name:  iqSchGreg1.2
# Organism name:  Schistocerca gregaria (desert locust)
# Isolate:  iqSchGreg1
# Sex:  male
# Taxid:          7010
# BioSample:      SAMN23383904
# BioProject:     PRJNA782545
# Submitter:      United States Department of Agriculture
# Date:           2022-06-24
# Assembly type:  haploid (principal pseudohaplotype of diploid)
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAKZLS01
# Assembly method: HiFiASM v. 0.13-r308
# Expected final version: yes
# Genome coverage: 41x
# Sequencing technology: PacBio Sequel
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_023897955.2
# RefSeq assembly accession: GCF_023897955.1
# RefSeq assembly and GenBank assemblies identical: yes
# Linked assembly: GCA_023898265.1 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_023898285.2	GCF_023898285.1	Primary Assembly
## GCA_023898335.1	GCF_023898335.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
ptg000805l	unplaced-scaffold	na	na	JAKZLS010000462.1	=	NW_026062173.1	Primary Assembly	230256	na
ptg000806l	unplaced-scaffold	na	na	JAKZLS010000463.1	=	NW_026062174.1	Primary Assembly	164806	na
ptg000807l	unplaced-scaffold	na	na	JAKZLS010000464.1	=	NW_026062175.1	Primary Assembly	39237	na
ptg000808l	unplaced-scaffold	na	na	JAKZLS010000465.1	=	NW_026062176.1	Primary Assembly	242820	na
ptg000809l	unplaced-scaffold	na	na	JAKZLS010000466.1	=	NW_026062177.1	Primary Assembly	224650	na
ptg000811l	unplaced-scaffold	na	na	JAKZLS010000467.1	=	NW_026062178.1	Primary Assembly	70521	na
ptg000812l	unplaced-scaffold	na	na	JAKZLS010000468.1	=	NW_026062179.1	Primary Assembly	29841	na
ptg000813l	unplaced-scaffold	na	na	JAKZLS010000469.1	=	NW_026062180.1	Primary Assembly	125373	na
ptg000814l	unplaced-scaffold	na	na	JAKZLS010000470.1	=	NW_026062181.1	Primary Assembly	33872	na
ptg000815l	unplaced-scaffold	na	na	JAKZLS010000471.1	=	NW_026062182.1	Primary Assembly	58556	na
ptg000816l	unplaced-scaffold	na	na	JAKZLS010000472.1	=	NW_026062183.1	Primary Assembly	18240	na
ptg000817l	unplaced-scaffold	na	na	JAKZLS010000473.1	=	NW_026062184.1	Primary Assembly	151733	na
ptg000818l	unplaced-scaffold	na	na	JAKZLS010000474.1	=	NW_026062185.1	Primary Assembly	366495	na
ptg000819l	unplaced-scaffold	na	na	JAKZLS010000475.1	=	NW_026062186.1	Primary Assembly	90985	na
ptg000821l	unplaced-scaffold	na	na	JAKZLS010000476.1	=	NW_026062187.1	Primary Assembly	84387	na
ptg000822l	unplaced-scaffold	na	na	JAKZLS010000477.1	=	NW_026062188.1	Primary Assembly	48177	na
ptg000823l	unplaced-scaffold	na	na	JAKZLS010000478.1	=	NW_026062189.1	Primary Assembly	89448	na
ptg000824l	unplaced-scaffold	na	na	JAKZLS010000479.1	=	NW_026062190.1	Primary Assembly	77446	na
ptg000825l	unplaced-scaffold	na	na	JAKZLS010000480.1	=	NW_026062191.1	Primary Assembly	41026	na
ptg000826l	unplaced-scaffold	na	na	JAKZLS010000481.1	=	NW_026062192.1	Primary Assembly	69127	na
ptg000827l	unplaced-scaffold	na	na	JAKZLS010000482.1	=	NW_026062193.1	Primary Assembly	121307	na
ptg000828l	unplaced-scaffold	na	na	JAKZLS010000483.1	=	NW_026062194.1	Primary Assembly	236087	na
ptg000830l	unplaced-scaffold	na	na	JAKZLS010000484.1	=	NW_026062195.1	Primary Assembly	113962	na
ptg000831l	unplaced-scaffold	na	na	JAKZLS010000485.1	=	NW_026062196.1	Primary Assembly	207904	na
ptg000832l	unplaced-scaffold	na	na	JAKZLS010000486.1	=	NW_026062197.1	Primary Assembly	95206	na
ptg000833l	unplaced-scaffold	na	na	JAKZLS010000487.1	=	NW_026062198.1	Primary Assembly	56427	na
ptg000834l	unplaced-scaffold	na	na	JAKZLS010000488.1	=	NW_026062199.1	Primary Assembly	364855	na
ptg000835l	unplaced-scaffold	na	na	JAKZLS010000489.1	=	NW_026062200.1	Primary Assembly	164578	na
ptg000836l	unplaced-scaffold	na	na	JAKZLS010000490.1	=	NW_026062201.1	Primary Assembly	46631	na
ptg000837l	unplaced-scaffold	na	na	JAKZLS010000491.1	=	NW_026062202.1	Primary Assembly	34660	na
ptg000838l	unplaced-scaffold	na	na	JAKZLS010000492.1	=	NW_026062203.1	Primary Assembly	50302	na
ptg000839l	unplaced-scaffold	na	na	JAKZLS010000493.1	=	NW_026062204.1	Primary Assembly	28481	na
ptg000840l	unplaced-scaffold	na	na	JAKZLS010000494.1	=	NW_026062205.1	Primary Assembly	36410	na
ptg000841l	unplaced-scaffold	na	na	JAKZLS010000495.1	=	NW_026062206.1	Primary Assembly	201519	na
ptg000843l	unplaced-scaffold	na	na	JAKZLS010000497.1	=	NW_026062207.1	Primary Assembly	92463	na
ptg000844l	unplaced-scaffold	na	na	JAKZLS010000498.1	=	NW_026062208.1	Primary Assembly	147705	na
ptg000845l	unplaced-scaffold	na	na	JAKZLS010000499.1	=	NW_026062209.1	Primary Assembly	144387	na
ptg000846l	unplaced-scaffold	na	na	JAKZLS010000500.1	=	NW_026062210.1	Primary Assembly	296887	na
ptg000849l	unplaced-scaffold	na	na	JAKZLS010000503.1	=	NW_026062211.1	Primary Assembly	72228	na
ptg000850l	unplaced-scaffold	na	na	JAKZLS010000504.1	=	NW_026062212.1	Primary Assembly	146970	na
ptg000851l	unplaced-scaffold	na	na	JAKZLS010000505.1	=	NW_026062213.1	Primary Assembly	55674	na
ptg000852l	unplaced-scaffold	na	na	JAKZLS010000506.1	=	NW_026062214.1	Primary Assembly	41880	na
ptg000853l	unplaced-scaffold	na	na	JAKZLS010000507.1	=	NW_026062215.1	Primary Assembly	53920	na
ptg000854l	unplaced-scaffold	na	na	JAKZLS010000508.1	=	NW_026062216.1	Primary Assembly	89885	na
ptg000855l	unplaced-scaffold	na	na	JAKZLS010000509.1	=	NW_026062217.1	Primary Assembly	108767	na
ptg000856l	unplaced-scaffold	na	na	JAKZLS010000510.1	=	NW_026062218.1	Primary Assembly	150594	na
ptg000857l	unplaced-scaffold	na	na	JAKZLS010000511.1	=	NW_026062219.1	Primary Assembly	120209	na
ptg000858l	unplaced-scaffold	na	na	JAKZLS010000512.1	=	NW_026062220.1	Primary Assembly	43892	na
ptg000859l	unplaced-scaffold	na	na	JAKZLS010000513.1	=	NW_026062221.1	Primary Assembly	26110	na
ptg000860l	unplaced-scaffold	na	na	JAKZLS010000514.1	=	NW_026062222.1	Primary Assembly	84906	na
ptg000861l	unplaced-scaffold	na	na	JAKZLS010000515.1	=	NW_026062223.1	Primary Assembly	91505	na
ptg000862l	unplaced-scaffold	na	na	JAKZLS010000516.1	=	NW_026062224.1	Primary Assembly	58827	na
ptg000863l	unplaced-scaffold	na	na	JAKZLS010000517.1	=	NW_026062225.1	Primary Assembly	78427	na
ptg000864l	unplaced-scaffold	na	na	JAKZLS010000518.1	=	NW_026062226.1	Primary Assembly	127856	na
ptg000865l	unplaced-scaffold	na	na	JAKZLS010000519.1	=	NW_026062227.1	Primary Assembly	193539	na
ptg000866l	unplaced-scaffold	na	na	JAKZLS010000520.1	=	NW_026062228.1	Primary Assembly	47965	na
ptg000867l	unplaced-scaffold	na	na	JAKZLS010000521.1	=	NW_026062229.1	Primary Assembly	248508	na
ptg000868l	unplaced-scaffold	na	na	JAKZLS010000522.1	=	NW_026062230.1	Primary Assembly	34692	na
ptg000870l	unplaced-scaffold	na	na	JAKZLS010000524.1	=	NW_026062231.1	Primary Assembly	136244	na
ptg000871l	unplaced-scaffold	na	na	JAKZLS010000525.1	=	NW_026062232.1	Primary Assembly	82183	na
ptg000872l	unplaced-scaffold	na	na	JAKZLS010000526.1	=	NW_026062233.1	Primary Assembly	122928	na
ptg000873l	unplaced-scaffold	na	na	JAKZLS010000527.1	=	NW_026062234.1	Primary Assembly	29891	na
ptg000874l	unplaced-scaffold	na	na	JAKZLS010000528.1	=	NW_026062235.1	Primary Assembly	224324	na
ptg000875l	unplaced-scaffold	na	na	JAKZLS010000529.1	=	NW_026062236.1	Primary Assembly	256518	na
ptg000876l	unplaced-scaffold	na	na	JAKZLS010000530.1	=	NW_026062237.1	Primary Assembly	140257	na
ptg000877l	unplaced-scaffold	na	na	JAKZLS010000531.1	=	NW_026062238.1	Primary Assembly	81837	na
ptg000878l	unplaced-scaffold	na	na	JAKZLS010000532.1	=	NW_026062239.1	Primary Assembly	29629	na
ptg000879l	unplaced-scaffold	na	na	JAKZLS010000533.1	=	NW_026062240.1	Primary Assembly	60299	na
ptg000880l	unplaced-scaffold	na	na	JAKZLS010000534.1	=	NW_026062241.1	Primary Assembly	51210	na
ptg000881l	unplaced-scaffold	na	na	JAKZLS010000535.1	=	NW_026062242.1	Primary Assembly	61041	na
ptg000882l	unplaced-scaffold	na	na	JAKZLS010000536.1	=	NW_026062243.1	Primary Assembly	322016	na
ptg000883l	unplaced-scaffold	na	na	JAKZLS010000537.1	=	NW_026062244.1	Primary Assembly	120664	na
ptg000884l	unplaced-scaffold	na	na	JAKZLS010000538.1	=	NW_026062245.1	Primary Assembly	51279	na
ptg000885l	unplaced-scaffold	na	na	JAKZLS010000539.1	=	NW_026062246.1	Primary Assembly	149315	na
ptg000886l	unplaced-scaffold	na	na	JAKZLS010000540.1	=	NW_026062247.1	Primary Assembly	62575	na
ptg000887l	unplaced-scaffold	na	na	JAKZLS010000541.1	=	NW_026062248.1	Primary Assembly	52134	na
ptg000888l	unplaced-scaffold	na	na	JAKZLS010000542.1	=	NW_026062249.1	Primary Assembly	241426	na
ptg000889l	unplaced-scaffold	na	na	JAKZLS010000543.1	=	NW_026062250.1	Primary Assembly	74538	na
ptg000890l	unplaced-scaffold	na	na	JAKZLS010000544.1	=	NW_026062251.1	Primary Assembly	16684	na
ptg000891l	unplaced-scaffold	na	na	JAKZLS010000545.1	=	NW_026062252.1	Primary Assembly	77139	na
ptg000892l	unplaced-scaffold	na	na	JAKZLS010000546.1	=	NW_026062253.1	Primary Assembly	74958	na
ptg000893l	unplaced-scaffold	na	na	JAKZLS010000547.1	=	NW_026062254.1	Primary Assembly	30223	na
ptg000894l	unplaced-scaffold	na	na	JAKZLS010000548.1	=	NW_026062255.1	Primary Assembly	111715	na
ptg000895l	unplaced-scaffold	na	na	JAKZLS010000549.1	=	NW_026062256.1	Primary Assembly	59909	na
ptg000896l	unplaced-scaffold	na	na	JAKZLS010000550.1	=	NW_026062257.1	Primary Assembly	449679	na
ptg000897l	unplaced-scaffold	na	na	JAKZLS010000551.1	=	NW_026062258.1	Primary Assembly	119221	na
ptg000898l	unplaced-scaffold	na	na	JAKZLS010000552.1	=	NW_026062259.1	Primary Assembly	1345210	na
ptg000900l	unplaced-scaffold	na	na	JAKZLS010000554.1	=	NW_026062260.1	Primary Assembly	166114	na
ptg000901l	unplaced-scaffold	na	na	JAKZLS010000555.1	=	NW_026062261.1	Primary Assembly	359680	na
ptg000902l	unplaced-scaffold	na	na	JAKZLS010000556.1	=	NW_026062262.1	Primary Assembly	27317	na
ptg000903l	unplaced-scaffold	na	na	JAKZLS010000557.1	=	NW_026062263.1	Primary Assembly	298153	na
ptg000904l	unplaced-scaffold	na	na	JAKZLS010000558.1	=	NW_026062264.1	Primary Assembly	18396	na
ptg000905l	unplaced-scaffold	na	na	JAKZLS010000559.1	=	NW_026062265.1	Primary Assembly	49571	na
ptg000906l	unplaced-scaffold	na	na	JAKZLS010000560.1	=	NW_026062266.1	Primary Assembly	29250	na
ptg000907l	unplaced-scaffold	na	na	JAKZLS010000561.1	=	NW_026062267.1	Primary Assembly	75683	na
ptg000908l	unplaced-scaffold	na	na	JAKZLS010000562.1	=	NW_026062268.1	Primary Assembly	44431	na
ptg000909l	unplaced-scaffold	na	na	JAKZLS010000563.1	=	NW_026062269.1	Primary Assembly	327773	na
ptg000912l	unplaced-scaffold	na	na	JAKZLS010000564.1	=	NW_026062270.1	Primary Assembly	217083	na
ptg000913l	unplaced-scaffold	na	na	JAKZLS010000565.1	=	NW_026062271.1	Primary Assembly	64831	na
ptg000914l	unplaced-scaffold	na	na	JAKZLS010000566.1	=	NW_026062272.1	Primary Assembly	249228	na
ptg000915l	unplaced-scaffold	na	na	JAKZLS010000567.1	=	NW_026062273.1	Primary Assembly	50354	na
ptg000917l	unplaced-scaffold	na	na	JAKZLS010000569.1	=	NW_026062274.1	Primary Assembly	49509	na
ptg000918l	unplaced-scaffold	na	na	JAKZLS010000570.1	=	NW_026062275.1	Primary Assembly	244991	na
ptg000919l	unplaced-scaffold	na	na	JAKZLS010000571.1	=	NW_026062276.1	Primary Assembly	21034	na
ptg000920l	unplaced-scaffold	na	na	JAKZLS010000572.1	=	NW_026062277.1	Primary Assembly	329231	na
ptg000921l	unplaced-scaffold	na	na	JAKZLS010000573.1	=	NW_026062278.1	Primary Assembly	54036	na
ptg000922l	unplaced-scaffold	na	na	JAKZLS010000574.1	=	NW_026062279.1	Primary Assembly	19400	na
ptg000923l	unplaced-scaffold	na	na	JAKZLS010000575.1	=	NW_026062280.1	Primary Assembly	95307	na
ptg000924l	unplaced-scaffold	na	na	JAKZLS010000576.1	=	NW_026062281.1	Primary Assembly	149030	na
ptg000925l	unplaced-scaffold	na	na	JAKZLS010000577.1	=	NW_026062282.1	Primary Assembly	292790	na
ptg000926l	unplaced-scaffold	na	na	JAKZLS010000578.1	=	NW_026062283.1	Primary Assembly	68300	na
ptg000927l	unplaced-scaffold	na	na	JAKZLS010000579.1	=	NW_026062284.1	Primary Assembly	160370	na
ptg000930l	unplaced-scaffold	na	na	JAKZLS010000582.1	=	NW_026062285.1	Primary Assembly	36006	na
ptg000931l	unplaced-scaffold	na	na	JAKZLS010000583.1	=	NW_026062286.1	Primary Assembly	66189	na
ptg000932l	unplaced-scaffold	na	na	JAKZLS010000584.1	=	NW_026062287.1	Primary Assembly	256188	na
ptg000933l	unplaced-scaffold	na	na	JAKZLS010000585.1	=	NW_026062288.1	Primary Assembly	139685	na
ptg000934l	unplaced-scaffold	na	na	JAKZLS010000586.1	=	NW_026062289.1	Primary Assembly	32959	na
ptg000935l	unplaced-scaffold	na	na	JAKZLS010000587.1	=	NW_026062290.1	Primary Assembly	38664	na
ptg000937l	unplaced-scaffold	na	na	JAKZLS010000589.1	=	NW_026062291.1	Primary Assembly	86237	na
ptg000938l	unplaced-scaffold	na	na	JAKZLS010000590.1	=	NW_026062292.1	Primary Assembly	79228	na
ptg000939l	unplaced-scaffold	na	na	JAKZLS010000591.1	=	NW_026062293.1	Primary Assembly	32633	na
ptg000940l	unplaced-scaffold	na	na	JAKZLS010000592.1	=	NW_026062294.1	Primary Assembly	456921	na
ptg000941l	unplaced-scaffold	na	na	JAKZLS010000593.1	=	NW_026062295.1	Primary Assembly	44535	na
ptg000942l	unplaced-scaffold	na	na	JAKZLS010000594.1	=	NW_026062296.1	Primary Assembly	25113	na
ptg000944l	unplaced-scaffold	na	na	JAKZLS010000596.1	=	NW_026062297.1	Primary Assembly	109291	na
ptg000945l	unplaced-scaffold	na	na	JAKZLS010000597.1	=	NW_026062298.1	Primary Assembly	196422	na
ptg000946l	unplaced-scaffold	na	na	JAKZLS010000598.1	=	NW_026062299.1	Primary Assembly	262043	na
ptg000947l	unplaced-scaffold	na	na	JAKZLS010000599.1	=	NW_026062300.1	Primary Assembly	52017	na
ptg000948l	unplaced-scaffold	na	na	JAKZLS010000600.1	=	NW_026062301.1	Primary Assembly	96726	na
ptg000949l	unplaced-scaffold	na	na	JAKZLS010000601.1	=	NW_026062302.1	Primary Assembly	191019	na
ptg000950l	unplaced-scaffold	na	na	JAKZLS010000602.1	=	NW_026062303.1	Primary Assembly	68031	na
ptg000951l	unplaced-scaffold	na	na	JAKZLS010000603.1	=	NW_026062304.1	Primary Assembly	112362	na
ptg000952l	unplaced-scaffold	na	na	JAKZLS010000604.1	=	NW_026062305.1	Primary Assembly	21972	na
ptg000953l	unplaced-scaffold	na	na	JAKZLS010000605.1	=	NW_026062306.1	Primary Assembly	43720	na
ptg000954l	unplaced-scaffold	na	na	JAKZLS010000606.1	=	NW_026062307.1	Primary Assembly	37847	na
ptg000955l	unplaced-scaffold	na	na	JAKZLS010000607.1	=	NW_026062308.1	Primary Assembly	77025	na
ptg000956l	unplaced-scaffold	na	na	JAKZLS010000608.1	=	NW_026062309.1	Primary Assembly	51193	na
ptg000957l	unplaced-scaffold	na	na	JAKZLS010000609.1	=	NW_026062310.1	Primary Assembly	54332	na
ptg000958l	unplaced-scaffold	na	na	JAKZLS010000610.1	=	NW_026062311.1	Primary Assembly	37607	na
ptg000959l	unplaced-scaffold	na	na	JAKZLS010000611.1	=	NW_026062312.1	Primary Assembly	116195	na
ptg000960l	unplaced-scaffold	na	na	JAKZLS010000612.1	=	NW_026062313.1	Primary Assembly	23421	na
ptg000961l	unplaced-scaffold	na	na	JAKZLS010000613.1	=	NW_026062314.1	Primary Assembly	34793	na
ptg000963l	unplaced-scaffold	na	na	JAKZLS010000614.1	=	NW_026062315.1	Primary Assembly	206002	na
ptg000964l	unplaced-scaffold	na	na	JAKZLS010000615.1	=	NW_026062316.1	Primary Assembly	32432	na
ptg000965l	unplaced-scaffold	na	na	JAKZLS010000616.1	=	NW_026062317.1	Primary Assembly	55357	na
ptg000966l	unplaced-scaffold	na	na	JAKZLS010000617.1	=	NW_026062318.1	Primary Assembly	54512	na
ptg000967l	unplaced-scaffold	na	na	JAKZLS010000618.1	=	NW_026062319.1	Primary Assembly	39363	na
ptg000968l	unplaced-scaffold	na	na	JAKZLS010000619.1	=	NW_026062320.1	Primary Assembly	34242	na
ptg000969l	unplaced-scaffold	na	na	JAKZLS010000620.1	=	NW_026062321.1	Primary Assembly	39570	na
ptg000970l	unplaced-scaffold	na	na	JAKZLS010000621.1	=	NW_026062322.1	Primary Assembly	33264	na
ptg000971l	unplaced-scaffold	na	na	JAKZLS010000622.1	=	NW_026062323.1	Primary Assembly	31688	na
ptg000972l	unplaced-scaffold	na	na	JAKZLS010000623.1	=	NW_026062324.1	Primary Assembly	20544	na
ptg000973l	unplaced-scaffold	na	na	JAKZLS010000624.1	=	NW_026062325.1	Primary Assembly	42430	na
ptg000974l	unplaced-scaffold	na	na	JAKZLS010000625.1	=	NW_026062326.1	Primary Assembly	21596	na
ptg000975l	unplaced-scaffold	na	na	JAKZLS010000626.1	=	NW_026062327.1	Primary Assembly	47365	na
ptg000976l	unplaced-scaffold	na	na	JAKZLS010000627.1	=	NW_026062328.1	Primary Assembly	74543	na
ptg000977l	unplaced-scaffold	na	na	JAKZLS010000628.1	=	NW_026062329.1	Primary Assembly	69637	na
ptg000978l	unplaced-scaffold	na	na	JAKZLS010000629.1	=	NW_026062330.1	Primary Assembly	57867	na
ptg000980l	unplaced-scaffold	na	na	JAKZLS010000631.1	=	NW_026062331.1	Primary Assembly	134788	na
ptg000981l	unplaced-scaffold	na	na	JAKZLS010000632.1	=	NW_026062332.1	Primary Assembly	46418	na
ptg000982l	unplaced-scaffold	na	na	JAKZLS010000633.1	=	NW_026062333.1	Primary Assembly	40627	na
ptg000983l	unplaced-scaffold	na	na	JAKZLS010000634.1	=	NW_026062334.1	Primary Assembly	27909	na
ptg000984l	unplaced-scaffold	na	na	JAKZLS010000635.1	=	NW_026062335.1	Primary Assembly	147958	na
ptg000985l	unplaced-scaffold	na	na	JAKZLS010000636.1	=	NW_026062336.1	Primary Assembly	45650	na
ptg000987l	unplaced-scaffold	na	na	JAKZLS010000638.1	=	NW_026062337.1	Primary Assembly	21223	na
ptg000988l	unplaced-scaffold	na	na	JAKZLS010000639.1	=	NW_026062338.1	Primary Assembly	306305	na
ptg000989l	unplaced-scaffold	na	na	JAKZLS010000640.1	=	NW_026062339.1	Primary Assembly	174534	na
ptg000990l	unplaced-scaffold	na	na	JAKZLS010000641.1	=	NW_026062340.1	Primary Assembly	207938	na
ptg000991l	unplaced-scaffold	na	na	JAKZLS010000642.1	=	NW_026062341.1	Primary Assembly	33349	na
ptg000992l	unplaced-scaffold	na	na	JAKZLS010000643.1	=	NW_026062342.1	Primary Assembly	35111	na
ptg000993l	unplaced-scaffold	na	na	JAKZLS010000644.1	=	NW_026062343.1	Primary Assembly	122762	na
ptg000994l	unplaced-scaffold	na	na	JAKZLS010000645.1	=	NW_026062344.1	Primary Assembly	391542	na
ptg000995l	unplaced-scaffold	na	na	JAKZLS010000646.1	=	NW_026062345.1	Primary Assembly	244321	na
ptg000996l	unplaced-scaffold	na	na	JAKZLS010000647.1	=	NW_026062346.1	Primary Assembly	223813	na
ptg000997l	unplaced-scaffold	na	na	JAKZLS010000648.1	=	NW_026062347.1	Primary Assembly	53388	na
ptg000998l	unplaced-scaffold	na	na	JAKZLS010000649.1	=	NW_026062348.1	Primary Assembly	309599	na
ptg000999l	unplaced-scaffold	na	na	JAKZLS010000650.1	=	NW_026062349.1	Primary Assembly	59593	na
ptg001000l	unplaced-scaffold	na	na	JAKZLS010000651.1	=	NW_026062350.1	Primary Assembly	27937	na
ptg001001l	unplaced-scaffold	na	na	JAKZLS010000652.1	=	NW_026062351.1	Primary Assembly	71479	na
ptg001002l	unplaced-scaffold	na	na	JAKZLS010000653.1	=	NW_026062352.1	Primary Assembly	33427	na
ptg001004l	unplaced-scaffold	na	na	JAKZLS010000655.1	=	NW_026062353.1	Primary Assembly	52244	na
ptg001005l	unplaced-scaffold	na	na	JAKZLS010000656.1	=	NW_026062354.1	Primary Assembly	62439	na
ptg001006l	unplaced-scaffold	na	na	JAKZLS010000657.1	=	NW_026062355.1	Primary Assembly	52121	na
ptg001007l	unplaced-scaffold	na	na	JAKZLS010000658.1	=	NW_026062356.1	Primary Assembly	109771	na
ptg001008l	unplaced-scaffold	na	na	JAKZLS010000659.1	=	NW_026062357.1	Primary Assembly	117369	na
ptg001009l	unplaced-scaffold	na	na	JAKZLS010000660.1	=	NW_026062358.1	Primary Assembly	42385	na
ptg001010l	unplaced-scaffold	na	na	JAKZLS010000661.1	=	NW_026062359.1	Primary Assembly	119671	na
ptg001011l	unplaced-scaffold	na	na	JAKZLS010000662.1	=	NW_026062360.1	Primary Assembly	123235	na
ptg001012l	unplaced-scaffold	na	na	JAKZLS010000663.1	=	NW_026062361.1	Primary Assembly	94222	na
ptg001013l	unplaced-scaffold	na	na	JAKZLS010000664.1	=	NW_026062362.1	Primary Assembly	134046	na
ptg001014l	unplaced-scaffold	na	na	JAKZLS010000665.1	=	NW_026062363.1	Primary Assembly	99801	na
ptg001015l	unplaced-scaffold	na	na	JAKZLS010000666.1	=	NW_026062364.1	Primary Assembly	52214	na
ptg001016l	unplaced-scaffold	na	na	JAKZLS010000667.1	=	NW_026062365.1	Primary Assembly	32206	na
ptg001018l	unplaced-scaffold	na	na	JAKZLS010000669.1	=	NW_026062366.1	Primary Assembly	27135	na
ptg001019l	unplaced-scaffold	na	na	JAKZLS010000670.1	=	NW_026062367.1	Primary Assembly	37823	na
ptg001020l	unplaced-scaffold	na	na	JAKZLS010000671.1	=	NW_026062368.1	Primary Assembly	25592	na
ptg001021l	unplaced-scaffold	na	na	JAKZLS010000672.1	=	NW_026062369.1	Primary Assembly	166571	na
ptg001022l	unplaced-scaffold	na	na	JAKZLS010000673.1	=	NW_026062370.1	Primary Assembly	51507	na
ptg001023l	unplaced-scaffold	na	na	JAKZLS010000674.1	=	NW_026062371.1	Primary Assembly	80030	na
ptg001024l	unplaced-scaffold	na	na	JAKZLS010000675.1	=	NW_026062372.1	Primary Assembly	41573	na
ptg001025l	unplaced-scaffold	na	na	JAKZLS010000676.1	=	NW_026062373.1	Primary Assembly	67772	na
ptg001026l	unplaced-scaffold	na	na	JAKZLS010000677.1	=	NW_026062374.1	Primary Assembly	156446	na
ptg001027l	unplaced-scaffold	na	na	JAKZLS010000678.1	=	NW_026062375.1	Primary Assembly	31760	na
ptg001028l	unplaced-scaffold	na	na	JAKZLS010000679.1	=	NW_026062376.1	Primary Assembly	33455	na
ptg001029l	unplaced-scaffold	na	na	JAKZLS010000680.1	=	NW_026062377.1	Primary Assembly	169518	na
ptg001030l	unplaced-scaffold	na	na	JAKZLS010000681.1	=	NW_026062378.1	Primary Assembly	84628	na
ptg001031l	unplaced-scaffold	na	na	JAKZLS010000682.1	=	NW_026062379.1	Primary Assembly	34690	na
ptg001032l	unplaced-scaffold	na	na	JAKZLS010000683.1	=	NW_026062380.1	Primary Assembly	42165	na
ptg001033l	unplaced-scaffold	na	na	JAKZLS010000684.1	=	NW_026062381.1	Primary Assembly	56357	na
ptg001034l	unplaced-scaffold	na	na	JAKZLS010000685.1	=	NW_026062382.1	Primary Assembly	82408	na
ptg001036l	unplaced-scaffold	na	na	JAKZLS010000687.1	=	NW_026062383.1	Primary Assembly	87082	na
ptg001037l	unplaced-scaffold	na	na	JAKZLS010000688.1	=	NW_026062384.1	Primary Assembly	43035	na
ptg001038l	unplaced-scaffold	na	na	JAKZLS010000689.1	=	NW_026062385.1	Primary Assembly	106880	na
ptg001039l	unplaced-scaffold	na	na	JAKZLS010000690.1	=	NW_026062386.1	Primary Assembly	168928	na
ptg001040l	unplaced-scaffold	na	na	JAKZLS010000691.1	=	NW_026062387.1	Primary Assembly	406627	na
ptg001041l	unplaced-scaffold	na	na	JAKZLS010000692.1	=	NW_026062388.1	Primary Assembly	78151	na
ptg001042l	unplaced-scaffold	na	na	JAKZLS010000693.1	=	NW_026062389.1	Primary Assembly	19940	na
ptg001043l	unplaced-scaffold	na	na	JAKZLS010000694.1	=	NW_026062390.1	Primary Assembly	40188	na
ptg001044l	unplaced-scaffold	na	na	JAKZLS010000695.1	=	NW_026062391.1	Primary Assembly	44334	na
ptg001046l	unplaced-scaffold	na	na	JAKZLS010000697.1	=	NW_026062392.1	Primary Assembly	101441	na
ptg001047l	unplaced-scaffold	na	na	JAKZLS010000698.1	=	NW_026062393.1	Primary Assembly	22445	na
ptg001048l	unplaced-scaffold	na	na	JAKZLS010000699.1	=	NW_026062394.1	Primary Assembly	284497	na
ptg001049l	unplaced-scaffold	na	na	JAKZLS010000700.1	=	NW_026062395.1	Primary Assembly	26976	na
ptg001050l	unplaced-scaffold	na	na	JAKZLS010000701.1	=	NW_026062396.1	Primary Assembly	52144	na
ptg001051l	unplaced-scaffold	na	na	JAKZLS010000702.1	=	NW_026062397.1	Primary Assembly	53525	na
ptg001052l	unplaced-scaffold	na	na	JAKZLS010000703.1	=	NW_026062398.1	Primary Assembly	68261	na
ptg001053l	unplaced-scaffold	na	na	JAKZLS010000704.1	=	NW_026062399.1	Primary Assembly	143717	na
ptg001054l	unplaced-scaffold	na	na	JAKZLS010000705.1	=	NW_026062400.1	Primary Assembly	118504	na
ptg001055l	unplaced-scaffold	na	na	JAKZLS010000706.1	=	NW_026062401.1	Primary Assembly	36248	na
ptg001056l	unplaced-scaffold	na	na	JAKZLS010000707.1	=	NW_026062402.1	Primary Assembly	210238	na
ptg001057l	unplaced-scaffold	na	na	JAKZLS010000708.1	=	NW_026062403.1	Primary Assembly	49775	na
ptg001058l	unplaced-scaffold	na	na	JAKZLS010000709.1	=	NW_026062404.1	Primary Assembly	26147	na
ptg001059l	unplaced-scaffold	na	na	JAKZLS010000710.1	=	NW_026062405.1	Primary Assembly	518290	na
