gene_id,seqid,region_claim,region_length_bp,taxon,isolate,mol_type,source,gff_gene_id,gene_biotype,Description,origin_evidence_class,origin_screen_priority,DEG_contexts,exact_deg_contrasts,GOs,KEGG_ko,KEGG_Pathway,PFAMs,start,end,strand
LOC126304682,NW_026061732.1,RefSeq S. gregaria unplaced genomic region,395514,7010,iqSchGreg1,genomic DNA,Gnomon,126304682,protein_coding,uncharacterized LOC126304682,Uncharacterized but has domains,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,"GO:0000182,GO:0000228,GO:0000278,GO:0000723,GO:0000775,GO:0000779,GO:0000780,GO:0000781,GO:0000785,GO:0000790,GO:0000791,GO:0000792,GO:0000793,GO:0000794,GO:0001672,GO:0003674,GO:0003676,GO:0003677,GO:0003682,GO:0003690,GO:0003696,GO:0003723,GO:0003729,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0005700,GO:0005701,GO:0005703,GO:0005704,GO:0005720,GO:0005721,GO:0006139,GO:0006259,GO:0006323,GO:0006325,GO:0006333,GO:0006338,GO:0006342,GO:0006343,GO:0006355,GO:0006464,GO:0006479,GO:0006725,GO:0006807,GO:0006996,GO:0007049,GO:0008150,GO:0008152,GO:0008213,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009987,GO:0010369,GO:0010468,GO:0010556,GO:0010557,GO:0010558,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0010638,GO:0010847,GO:0010941,GO:0016043,GO:0016458,GO:0016569,GO:0016570,GO:0016571,GO:0018022,GO:0018023,GO:0018193,GO:0018205,GO:0019219,GO:0019222,GO:0019538,GO:0022607,GO:0031056,GO:0031058,GO:0031060,GO:0031062,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0031399,GO:0031401,GO:0031445,GO:0031453,GO:0031454,GO:0031497,GO:0031507,GO:0031935,GO:0031937,GO:0031974,GO:0031981,GO:0032200,GO:0032259,GO:0032268,GO:0032270,GO:0033043,GO:0033044,GO:0033697,GO:0034641,GO:0034770,GO:0034773,GO:0034968,GO:0035012,GO:0035064,GO:0036211,GO:0040029,GO:0042393,GO:0042592,GO:0042981,GO:0043067,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043412,GO:0043414,GO:0043565,GO:0044085,GO:0044087,GO:0044089,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044446,GO:0044454,GO:0044464,GO:0045799,GO:0045814,GO:0045892,GO:0045893,GO:0045934,GO:0045935,GO:0046483,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0050789,GO:0050794,GO:0051052,GO:0051054,GO:0051128,GO:0051130,GO:0051171,GO:0051172,GO:0051173,GO:0051246,GO:0051247,GO:0051252,GO:0051253,GO:0051254,GO:0051276,GO:0051570,GO:0051574,GO:0060249,GO:0060255,GO:0060968,GO:0065007,GO:0065008,GO:0070013,GO:0070828,GO:0071103,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0090308,GO:0090309,GO:0097159,GO:0098687,GO:0140030,GO:0140034,GO:1900109,GO:1900111,GO:1901360,GO:1901363,GO:1901564,GO:1902275,GO:1902679,GO:1902680,GO:1903506,GO:1903507,GO:1903508,GO:1905269,GO:1990837,GO:2000112,GO:2000113,GO:2001141,GO:2001252","ko:K11585,ko:K11587",,"Chromo,Chromo_shadow",170181,172498,+
LOC126314411,NW_026061953.1,RefSeq S. gregaria unplaced genomic region,216778,7010,iqSchGreg1,genomic DNA,Gnomon,126314411,protein_coding,uncharacterized LOC126314411,Uncharacterized but has domains,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,"GO:0000003,GO:0000323,GO:0000902,GO:0000904,GO:0001667,GO:0002064,GO:0002065,GO:0002066,GO:0002253,GO:0002376,GO:0002682,GO:0002684,GO:0003006,GO:0003674,GO:0003779,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005773,GO:0006464,GO:0006473,GO:0006474,GO:0006807,GO:0006810,GO:0006897,GO:0006909,GO:0006911,GO:0006928,GO:0006935,GO:0006955,GO:0006996,GO:0007010,GO:0007015,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007297,GO:0007298,GO:0007399,GO:0007409,GO:0007411,GO:0008092,GO:0008150,GO:0008152,GO:0008154,GO:0009605,GO:0009653,GO:0009888,GO:0009987,GO:0010324,GO:0010467,GO:0010591,GO:0010592,GO:0010631,GO:0010941,GO:0016043,GO:0016192,GO:0016477,GO:0017196,GO:0018193,GO:0018206,GO:0019538,GO:0019953,GO:0022008,GO:0022411,GO:0022412,GO:0022414,GO:0030027,GO:0030029,GO:0030030,GO:0030036,GO:0030042,GO:0030154,GO:0030182,GO:0030424,GO:0030426,GO:0030427,GO:0030707,GO:0030855,GO:0031175,GO:0031248,GO:0031252,GO:0031344,GO:0031346,GO:0031365,GO:0031414,GO:0031416,GO:0032501,GO:0032502,GO:0032504,GO:0032984,GO:0032989,GO:0032990,GO:0032991,GO:0033267,GO:0036211,GO:0040011,GO:0042221,GO:0042330,GO:0042981,GO:0042995,GO:0043005,GO:0043066,GO:0043067,GO:0043069,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0043523,GO:0043524,GO:0043543,GO:0043624,GO:0043933,GO:0044087,GO:0044089,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044463,GO:0044464,GO:0044703,GO:0044877,GO:0048468,GO:0048477,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048609,GO:0048666,GO:0048667,GO:0048699,GO:0048731,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0048870,GO:0050776,GO:0050778,GO:0050789,GO:0050794,GO:0050896,GO:0051015,GO:0051128,GO:0051130,GO:0051179,GO:0051234,GO:0051261,GO:0051604,GO:0051674,GO:0051704,GO:0060429,GO:0060491,GO:0060548,GO:0061024,GO:0061564,GO:0065007,GO:0071704,GO:0071840,GO:0090130,GO:0090132,GO:0090723,GO:0097374,GO:0097435,GO:0097458,GO:0097485,GO:0098657,GO:0099024,GO:0120025,GO:0120032,GO:0120034,GO:0120035,GO:0120036,GO:0120038,GO:0120039,GO:0150034,GO:1901214,GO:1901215,GO:1901564,GO:1902493,GO:1902494,GO:1902743,GO:1902745,GO:1990234,GO:1990761",ko:K17973,,"NARP1,NatB_MDM20",175684,180022,+
LOC126314447,NW_026061953.1,RefSeq S. gregaria unplaced genomic region,216778,7010,iqSchGreg1,genomic DNA,Gnomon,126314447,protein_coding,uncharacterized LOC126314447,Uncharacterized but has domains,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,BSD,130975,132777,-
LOC126314451,NW_026061953.1,RefSeq S. gregaria unplaced genomic region,216778,7010,iqSchGreg1,genomic DNA,Gnomon,126314451,protein_coding,uncharacterized LOC126314451,Uncharacterized but has domains,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,"GO:0000339,GO:0000375,GO:0000377,GO:0000398,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005681,GO:0005846,GO:0006139,GO:0006396,GO:0006397,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008380,GO:0009892,GO:0009987,GO:0010033,GO:0010467,GO:0010468,GO:0010605,GO:0010608,GO:0010629,GO:0014070,GO:0016070,GO:0016071,GO:0016246,GO:0016441,GO:0016458,GO:0019222,GO:0030422,GO:0031047,GO:0031050,GO:0031053,GO:0032991,GO:0034470,GO:0034518,GO:0034641,GO:0034660,GO:0035194,GO:0035195,GO:0035196,GO:0040029,GO:0042221,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043331,GO:0043900,GO:0043901,GO:0043903,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0045069,GO:0045071,GO:0046483,GO:0048519,GO:0048525,GO:0050789,GO:0050792,GO:0050896,GO:0051716,GO:0060255,GO:0065007,GO:0070887,GO:0070918,GO:0071310,GO:0071359,GO:0071407,GO:0071704,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901698,GO:1901699,GO:1903900,GO:1903901,GO:1990904",ko:K12883,"ko03013,ko03015,ko03040,map03013,map03015,map03040",RRM_1,53956,56085,+
LOC126315323,NW_026061960.1,RefSeq S. gregaria unplaced genomic region,597154,7010,iqSchGreg1,genomic DNA,Gnomon,126315323,protein_coding,uncharacterized LOC126315323,Uncharacterized but has domains,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,"GO:0000003,GO:0001667,GO:0002064,GO:0002065,GO:0002066,GO:0003006,GO:0003674,GO:0003779,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006810,GO:0006897,GO:0006928,GO:0006996,GO:0007010,GO:0007015,GO:0007154,GO:0007267,GO:0007268,GO:0007274,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007297,GO:0007298,GO:0007399,GO:0007417,GO:0007420,GO:0007423,GO:0008064,GO:0008092,GO:0008150,GO:0008154,GO:0008407,GO:0009653,GO:0009887,GO:0009888,GO:0009987,GO:0010591,GO:0010631,GO:0010639,GO:0016020,GO:0016043,GO:0016192,GO:0016319,GO:0016477,GO:0019953,GO:0022411,GO:0022412,GO:0022414,GO:0022416,GO:0023052,GO:0030029,GO:0030036,GO:0030042,GO:0030154,GO:0030707,GO:0030832,GO:0030833,GO:0030837,GO:0030855,GO:0031333,GO:0031344,GO:0032271,GO:0032272,GO:0032501,GO:0032502,GO:0032504,GO:0032535,GO:0032956,GO:0032970,GO:0032984,GO:0033043,GO:0036465,GO:0040011,GO:0043254,GO:0043624,GO:0043933,GO:0044087,GO:0044424,GO:0044464,GO:0044703,GO:0048468,GO:0048477,GO:0048488,GO:0048513,GO:0048519,GO:0048523,GO:0048609,GO:0048731,GO:0048856,GO:0048869,GO:0048870,GO:0050789,GO:0050794,GO:0051128,GO:0051129,GO:0051179,GO:0051234,GO:0051261,GO:0051493,GO:0051494,GO:0051641,GO:0051649,GO:0051674,GO:0051704,GO:0060322,GO:0060429,GO:0060491,GO:0065007,GO:0065008,GO:0071840,GO:0071944,GO:0090066,GO:0090130,GO:0090132,GO:0097435,GO:0098657,GO:0098916,GO:0099003,GO:0099504,GO:0099536,GO:0099537,GO:0110053,GO:0120032,GO:0120035,GO:1902743,GO:1902903,GO:1902904",ko:K08870,,Cofilin_ADF,296010,299228,+
LOC126315332,NW_026061960.1,RefSeq S. gregaria unplaced genomic region,597154,7010,iqSchGreg1,genomic DNA,Gnomon,126315332,protein_coding,uncharacterized LOC126315332,Uncharacterized but has domains,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,"GO:0003674,GO:0005048,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005786,GO:0006605,GO:0006612,GO:0006613,GO:0006810,GO:0006886,GO:0008104,GO:0008150,GO:0012505,GO:0015031,GO:0015833,GO:0032991,GO:0033036,GO:0033218,GO:0034613,GO:0042277,GO:0042886,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0045184,GO:0046907,GO:0048500,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0070727,GO:0071702,GO:0071705,GO:0072657,GO:0090150,GO:1990904",ko:K13250,"ko04141,map04141",TRAP_beta,113846,114937,+
LOC126316448,NW_026061974.1,RefSeq S. gregaria unplaced genomic region,122239,7010,iqSchGreg1,genomic DNA,Gnomon,126316448,protein_coding,uncharacterized LOC126316448,Uncharacterized but has domains,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,"GO:0001708,GO:0001763,GO:0002009,GO:0002164,GO:0002165,GO:0002168,GO:0003008,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0006357,GO:0007275,GO:0007424,GO:0007430,GO:0007444,GO:0007472,GO:0007475,GO:0007476,GO:0007552,GO:0007560,GO:0007610,GO:0007611,GO:0007613,GO:0007614,GO:0008134,GO:0008150,GO:0008586,GO:0008587,GO:0009653,GO:0009791,GO:0009886,GO:0009887,GO:0009888,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0019219,GO:0019222,GO:0030154,GO:0030431,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032501,GO:0032502,GO:0033613,GO:0035107,GO:0035114,GO:0035120,GO:0035153,GO:0035154,GO:0035209,GO:0035220,GO:0035239,GO:0035295,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0045165,GO:0045893,GO:0045935,GO:0045944,GO:0048513,GO:0048518,GO:0048522,GO:0048563,GO:0048569,GO:0048707,GO:0048729,GO:0048731,GO:0048736,GO:0048737,GO:0048754,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0050877,GO:0050890,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0060429,GO:0060446,GO:0060541,GO:0060562,GO:0061138,GO:0065007,GO:0080090,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2001141",ko:K04378,"ko04010,ko04022,ko05166,ko05203,map04010,map04022,map05166,map05203",SRF-TF,32374,35271,+
LOC126316457,NW_026061974.1,RefSeq S. gregaria unplaced genomic region,122239,7010,iqSchGreg1,genomic DNA,Gnomon,126316457,protein_coding,uncharacterized LOC126316457,Uncharacterized but has domains,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,"PI-PLC-X,Varsurf_PPLC",93843,96239,-
LOC126316986,NW_026062003.1,RefSeq S. gregaria unplaced genomic region,342834,7010,iqSchGreg1,genomic DNA,Gnomon,126316986,protein_coding,uncharacterized LOC126316986,Uncharacterized but has domains,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,"GO:0000122,GO:0001085,GO:0001103,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0005700,GO:0006323,GO:0006325,GO:0006333,GO:0006334,GO:0006355,GO:0006357,GO:0006996,GO:0008134,GO:0008150,GO:0008593,GO:0009889,GO:0009890,GO:0009892,GO:0009966,GO:0009968,GO:0009987,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0010646,GO:0010648,GO:0016043,GO:0017053,GO:0019219,GO:0019222,GO:0022607,GO:0023051,GO:0023057,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031497,GO:0032991,GO:0034622,GO:0034728,GO:0035059,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043484,GO:0043933,GO:0044085,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0045746,GO:0045892,GO:0045934,GO:0048024,GO:0048519,GO:0048523,GO:0048583,GO:0048585,GO:0050684,GO:0050789,GO:0050794,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0051276,GO:0060255,GO:0065003,GO:0065004,GO:0065007,GO:0070491,GO:0071103,GO:0071824,GO:0071840,GO:0080090,GO:1902679,GO:1903311,GO:1903506,GO:1903507,GO:2000112,GO:2000113,GO:2001141",ko:K10753,,ASF1_hist_chap,134548,139407,-
LOC126318232,NW_026062043.1,RefSeq S. gregaria unplaced genomic region,187750,7010,iqSchGreg1,genomic DNA,Gnomon,126318232,protein_coding,uncharacterized LOC126318232,Uncharacterized but has domains,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,"GO:0000003,GO:0000375,GO:0000377,GO:0000398,GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005686,GO:0006139,GO:0006325,GO:0006396,GO:0006397,GO:0006725,GO:0006807,GO:0006996,GO:0007276,GO:0007283,GO:0008150,GO:0008152,GO:0008380,GO:0009987,GO:0010467,GO:0016043,GO:0016070,GO:0016071,GO:0017069,GO:0019953,GO:0022414,GO:0030532,GO:0030620,GO:0032501,GO:0032504,GO:0032991,GO:0034641,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0044703,GO:0046483,GO:0048232,GO:0048609,GO:0051276,GO:0051704,GO:0071704,GO:0071840,GO:0090304,GO:0097159,GO:0097525,GO:0120114,GO:1901360,GO:1901363,GO:1990904",ko:K11092,"ko03040,map03040",LRR_9,40329,45142,+
LOC126318327,NW_026062048.1,RefSeq S. gregaria unplaced genomic region,353118,7010,iqSchGreg1,genomic DNA,Gnomon,126318327,protein_coding,uncharacterized LOC126318327,Uncharacterized but has domains,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,,,DUF3421,293713,294478,+
LOC126318447,NW_026062051.1,RefSeq S. gregaria unplaced genomic region,147068,7010,iqSchGreg1,genomic DNA,Gnomon,126318447,protein_coding,uncharacterized LOC126318447,Uncharacterized but has domains,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,"GO:0000123,GO:0003674,GO:0003824,GO:0004402,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005671,GO:0006325,GO:0006338,GO:0006464,GO:0006473,GO:0006475,GO:0006807,GO:0006996,GO:0008080,GO:0008150,GO:0008152,GO:0009893,GO:0009987,GO:0010485,GO:0010604,GO:0010638,GO:0016043,GO:0016407,GO:0016410,GO:0016569,GO:0016570,GO:0016573,GO:0016740,GO:0016746,GO:0016747,GO:0018193,GO:0018205,GO:0018393,GO:0018394,GO:0019222,GO:0019538,GO:0031056,GO:0031058,GO:0031248,GO:0031323,GO:0031325,GO:0031399,GO:0031401,GO:0031974,GO:0031981,GO:0032268,GO:0032270,GO:0032991,GO:0033043,GO:0033044,GO:0034212,GO:0035065,GO:0035066,GO:0036211,GO:0036335,GO:0042592,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0043543,GO:0043967,GO:0043968,GO:0043998,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044451,GO:0044464,GO:0048518,GO:0048522,GO:0048872,GO:0050789,GO:0050794,GO:0051128,GO:0051130,GO:0051171,GO:0051173,GO:0051246,GO:0051247,GO:0051276,GO:0060255,GO:0061733,GO:0065007,GO:0065008,GO:0070013,GO:0071704,GO:0071840,GO:0080090,GO:0090239,GO:0090240,GO:1901564,GO:1901983,GO:1901985,GO:1902275,GO:1902493,GO:1902494,GO:1902562,GO:1905269,GO:1990234,GO:2000618,GO:2000620,GO:2000756,GO:2000758,GO:2001252",,,"Acetyltransf_1,Acetyltransf_10",80800,83237,+
LOC126318678,NW_026062059.1,RefSeq S. gregaria unplaced genomic region,117526,7010,iqSchGreg1,genomic DNA,Gnomon,126318678,protein_coding,uncharacterized LOC126318678,Uncharacterized but has domains,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464,GO:0045177",ko:K21989,,"PHM7_cyt,RSN1_7TM,RSN1_TM",100060,102807,+
LOC126319896,NW_026062071.1,RefSeq S. gregaria unplaced genomic region,621335,7010,iqSchGreg1,genomic DNA,Gnomon,126319896,protein_coding,uncharacterized LOC126319896,Uncharacterized but has domains,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,,ko:K12823,"ko03040,ko05202,ko05205,map03040,map05202,map05205","DEAD,Helicase_C",334896,337338,-
LOC126319993,NW_026062071.1,RefSeq S. gregaria unplaced genomic region,621335,7010,iqSchGreg1,genomic DNA,Gnomon,126319993,protein_coding,uncharacterized LOC126319993,Uncharacterized but has domains,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,"GO:0000003,GO:0000109,GO:0000111,GO:0000280,GO:0000710,GO:0003674,GO:0003676,GO:0003677,GO:0003684,GO:0003697,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006281,GO:0006289,GO:0006298,GO:0006310,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0007049,GO:0007127,GO:0007131,GO:0008150,GO:0008152,GO:0009987,GO:0010777,GO:0016043,GO:0022402,GO:0022414,GO:0032991,GO:0033554,GO:0034641,GO:0035825,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044260,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0046483,GO:0048285,GO:0050896,GO:0051321,GO:0051716,GO:0061982,GO:0071704,GO:0071840,GO:0071942,GO:0090304,GO:0097159,GO:0140013,GO:1901360,GO:1901363,GO:1903046,GO:1990391",ko:K10838,"ko03420,map03420","BHD_1,BHD_2,BHD_3,Rad4",329003,331709,+
LOC126320362,NW_026062094.1,RefSeq S. gregaria unplaced genomic region,84846,7010,iqSchGreg1,genomic DNA,Gnomon,126320362,protein_coding,uncharacterized LOC126320362,Uncharacterized but has domains,Needs sequence-level taxonomy,Diet DEGs in infected; Infection within diets,Diet contrasts among infected | Infected 33 vs 50 | Downregulated; Infection within diet | Diet 33: infected vs control | Downregulated,"GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003730,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005847,GO:0005849,GO:0006139,GO:0006378,GO:0006379,GO:0006396,GO:0006397,GO:0006725,GO:0006807,GO:0008092,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016070,GO:0016071,GO:0017022,GO:0031123,GO:0031124,GO:0031974,GO:0031981,GO:0032991,GO:0034641,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043631,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044451,GO:0044464,GO:0046483,GO:0070013,GO:0071704,GO:0090304,GO:0090305,GO:0090501,GO:0097159,GO:0098787,GO:0098789,GO:1901360,GO:1901363",ko:K14401,"ko03015,map03015","CPSF_A,MMS1_N",31783,37334,+
LOC126320472,NW_026062097.1,RefSeq S. gregaria unplaced genomic region,426281,7010,iqSchGreg1,genomic DNA,Gnomon,126320472,protein_coding,uncharacterized LOC126320472,Uncharacterized but has domains,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,"GO:0000030,GO:0003674,GO:0003824,GO:0004582,GO:0006464,GO:0006486,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009987,GO:0016740,GO:0016757,GO:0016758,GO:0019538,GO:0034645,GO:0036211,GO:0043170,GO:0043412,GO:0043413,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0070085,GO:0071704,GO:0097502,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576",ko:K00721,"ko00510,ko01100,map00510,map01100",Glycos_transf_2,292901,294671,+
LOC126322560,NW_026062185.1,RefSeq S. gregaria unplaced genomic region,366495,7010,iqSchGreg1,genomic DNA,Gnomon,126322560,protein_coding,uncharacterized LOC126322560,Uncharacterized but has domains,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,"GO:0003674,GO:0003824,GO:0004721,GO:0004722,GO:0004725,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005744,GO:0006464,GO:0006470,GO:0006605,GO:0006626,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006839,GO:0006886,GO:0006996,GO:0007005,GO:0007006,GO:0008104,GO:0008150,GO:0008152,GO:0009987,GO:0015031,GO:0015833,GO:0016020,GO:0016043,GO:0016311,GO:0016604,GO:0016607,GO:0016787,GO:0016788,GO:0016791,GO:0017038,GO:0019538,GO:0019866,GO:0030150,GO:0031090,GO:0031966,GO:0031967,GO:0031974,GO:0031975,GO:0031981,GO:0032991,GO:0033036,GO:0033365,GO:0034613,GO:0035335,GO:0036211,GO:0042578,GO:0042886,GO:0043021,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044425,GO:0044428,GO:0044429,GO:0044444,GO:0044446,GO:0044451,GO:0044455,GO:0044464,GO:0044743,GO:0044877,GO:0045184,GO:0046907,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0055085,GO:0061024,GO:0065002,GO:0070013,GO:0070585,GO:0070727,GO:0071702,GO:0071704,GO:0071705,GO:0071806,GO:0071840,GO:0072594,GO:0072655,GO:0098796,GO:0098798,GO:0098800,GO:0140096,GO:1901564,GO:1990542",ko:K17496,,NIF,251727,254804,-
LOC126324520,NW_026062249.1,RefSeq S. gregaria unplaced genomic region,241426,7010,iqSchGreg1,genomic DNA,Gnomon,126324520,protein_coding,uncharacterized LOC126324520,Uncharacterized but has domains,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,"GO:0003674,GO:0005488,GO:0005509,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0012505,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0046872",,,DUF1682,35062,36618,-
LOC126325818,NW_026062299.1,RefSeq S. gregaria unplaced genomic region,262043,7010,iqSchGreg1,genomic DNA,Gnomon,126325818,protein_coding,uncharacterized LOC126325818,Uncharacterized but has domains,Needs sequence-level taxonomy,Diet DEGs in infected,Diet contrasts among infected | Infected 33 vs 50 | Downregulated,"GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003743,GO:0005488,GO:0006412,GO:0006413,GO:0006518,GO:0006807,GO:0007275,GO:0007423,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0019538,GO:0022416,GO:0032501,GO:0032502,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0048513,GO:0048731,GO:0048856,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576",ko:K03260,"ko03013,ko05416,map03013,map05416","MA3,MIF4G,W2",181626,183998,+
