	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED, MAPPED]	LOC126272669	Synaptic vesicle membrane protein VAT-1 homolog-like	2673	5	3.21E-188	74.89	2	F:GO:0008270; F:GO:0016491	F:zinc ion binding; F:oxidoreductase activity			G3DSA:3.90.180.10 (GENE3D); IPR013154 (PFAM); IPR011032 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126272670	protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2-like	1710	6	0.0	98.59	1	F:GO:0016757	F:glycosyltransferase activity			IPR049625 (PFAM)	F:GO:0016757	F:glycosyltransferase activity
true	[INTERPRO, BLASTED, MAPPED]	LOC126272671	retinoblastoma-like protein 1 isoform X1	13266	15	9.72E-168	46.17	5	P:GO:0006357; P:GO:0051726; C:GO:0005739; C:GO:0005840; C:GO:1990904	P:regulation of transcription by RNA polymerase II; P:regulation of cell cycle; C:mitochondrion; C:ribosome; C:ribonucleoprotein complex			G3DSA:1.10.472.10 (GENE3D)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	LOC126273433	uncharacterized protein LOC126273433	507	1	5.54E-110	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126272673	PX domain-containing protein kinase-like protein isoform X1	4761	17	1.04E-99	88.67	3	P:GO:0006468; F:GO:0004672; F:GO:0005524	P:protein phosphorylation; F:protein kinase activity; F:ATP binding			G3DSA:1.10.510.10 (GENE3D); G3DSA:1.10.510.10 (GENE3D); PIRSR630616-2 (PIRSR); IPR000719 (PROSITE_PROFILES); IPR011009 (SUPERFAMILY); IPR011009 (SUPERFAMILY); IPR011009 (SUPERFAMILY)	P:GO:0006468; F:GO:0004672; F:GO:0005524	P:protein phosphorylation; F:protein kinase activity; F:ATP binding
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126272674	XP_049788109.1 tafazzin	789	4	2.09E-199	99.71	2	P:GO:0006644; F:GO:0016746	P:phospholipid metabolic process; F:acyltransferase activity			IPR000872 (PRINTS); IPR002123 (PFAM); cd07989 (CDD); SSF69593 (SUPERFAMILY)	P:GO:0006644; F:GO:0016746	P:phospholipid metabolic process; F:acyltransferase activity
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126273435	protein prickle-like	2742	1	0.0	100.0	1	F:GO:0008270	F:zinc ion binding			G3DSA:2.10.110.10:FF:000005 (FUNFAM); G3DSA:2.10.110.10:FF:000035 (FUNFAM); G3DSA:2.10.110.10:FF:000022 (FUNFAM); G3DSA:2.10.110.10 (GENE3D); IPR001781 (PFAM); G3DSA:2.10.110.10 (GENE3D); G3DSA:2.10.110.10 (GENE3D); IPR010442 (PFAM); IPR001781 (PROSITE_PROFILES); IPR010442 (PROSITE_PROFILES); IPR001781 (PROSITE_PROFILES); IPR033727 (CDD); IPR033723 (CDD); IPR033726 (CDD); IPR033725 (CDD); SSF57716 (SUPERFAMILY); SSF57716 (SUPERFAMILY)	F:GO:0008270	F:zinc ion binding
true	[INTERPRO, BLASTED]	LOC126273187	optineurin isoform X1	5400	15	3.28E-132	59.45						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126273188	adenosine kinase-like isoform X1	2061	6	4.5E-266	99.15	2	P:GO:0006166; F:GO:0004001	P:purine ribonucleoside salvage; F:adenosine kinase activity			IPR001805 (PRINTS); IPR029056 (G3DSA:3.40.1190.GENE3D); IPR011611 (PFAM); G3DSA:3.30.1110.10 (GENE3D); cd01168 (CDD); IPR029056 (SUPERFAMILY)	P:GO:0006166; F:GO:0004001	P:purine ribonucleoside salvage; F:adenosine kinase activity
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126273189	doublesex- and mab-3-related transcription factor 2	1326	6	3.11E-91	72.5	2	P:GO:0006355; F:GO:0043565	P:regulation of DNA-templated transcription; F:sequence-specific DNA binding			G3DSA:4.10.1040.10:FF:000001 (FUNFAM); IPR001275 (PFAM); IPR036407 (G3DSA:4.10.1040.GENE3D); IPR001275 (PROSITE_PROFILES); IPR036407 (SUPERFAMILY)	P:GO:0006355; F:GO:0043565	P:regulation of DNA-templated transcription; F:sequence-specific DNA binding
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126273191	dTTP/UTP pyrophosphatase	1872	11	2.01E-81	77.71	1	F:GO:0047429	F:nucleoside triphosphate diphosphatase activity			IPR029001 (G3DSA:3.90.950.GENE3D); IPR029001 (G3DSA:3.90.950.GENE3D); IPR003697 (PFAM); IPR003697 (HAMAP); IPR029001 (SUPERFAMILY); IPR029001 (SUPERFAMILY); IPR029001 (SUPERFAMILY)	F:GO:0047429	F:nucleoside triphosphate diphosphatase activity
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126273192	uncharacterized protein LOC126273192	1776	4	9.47E-147	65.9	1	P:GO:0007165	P:signal transduction			G3DSA:3.10.20.90 (GENE3D); IPR000159 (PFAM); IPR000159 (PROSITE_PROFILES); IPR000159 (PROSITE_PROFILES); cd17043 (CDD); cd17043 (CDD); IPR029071 (SUPERFAMILY); IPR029071 (SUPERFAMILY)	P:GO:0007165	P:signal transduction
true	[INTERPRO, BLASTED, MAPPED]	LOC126272657	Chitin synthase	8892	5	2.67E-257	52.86	3	F:GO:0004100; F:GO:0016758; C:GO:0016020	F:chitin synthase activity; F:hexosyltransferase activity; C:membrane			no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126272736	uncharacterized protein LOC126272736	849	3	1.03E-200	100.0						IPR021109 (G3DSA:2.40.70.GENE3D); PF13975 (PFAM); cd00303 (CDD); IPR021109 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	LOC126272099	uncharacterized protein LOC126272099	831	1	1.26E-198	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	LOC126273436	---NA---	4377									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126272440	XP_047117280.1 frizzled-7	1713	3	0.0	99.94	4	P:GO:0007166; F:GO:0004888; F:GO:0005515; C:GO:0016020	P:cell surface receptor signaling pathway; F:transmembrane signaling receptor activity; F:protein binding; C:membrane			IPR000539 (PRINTS); G3DSA:1.10.2000.10:FF:000016 (FUNFAM); G3DSA:1.20.1070.10:FF:000029 (FUNFAM); G3DSA:1.20.1070.10 (GENE3D); IPR036790 (G3DSA:1.10.2000.GENE3D); IPR020067 (PFAM); IPR000539 (PFAM); IPR020067 (PROSITE_PROFILES); IPR017981 (PROSITE_PROFILES); cd15034 (CDD); cd07458 (CDD); IPR036790 (SUPERFAMILY)	P:GO:0007166; F:GO:0004888; F:GO:0005515; C:GO:0016020	P:cell surface receptor signaling pathway; F:transmembrane signaling receptor activity; F:protein binding; C:membrane
true	[INTERPRO, BLASTED]	LOC126272439	BTB/POZ domain-containing protein 1-like isoform X1	3285	10	3.14E-287	89.62						IPR011333 (G3DSA:3.30.710.GENE3D); IPR011705 (PFAM); G3DSA:1.25.40.420 (GENE3D)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	LOC126272437	tensin-1 isoform X4	13548	20	3.57E-128	62.89						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126272088	facilitated trehalose transporter Tret1-like	1875	4	0.0	98.12	3	P:GO:0055085; F:GO:0022857; C:GO:0016020	P:transmembrane transport; F:transmembrane transporter activity; C:membrane			IPR036259 (G3DSA:1.20.1250.GENE3D); IPR011701 (PFAM); IPR005828 (PFAM); IPR020846 (PROSITE_PROFILES); IPR036259 (SUPERFAMILY)	P:GO:0055085; F:GO:0022857; C:GO:0016020	P:transmembrane transport; F:transmembrane transporter activity; C:membrane
true	[INTERPRO, BLASTED]	LOC126273437	GATA zinc finger domain-containing protein 14-like	675	1	1.12E-125	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126272093	protein abrupt isoform X1	11358	15	1.4E-185	89.28						G3DSA:3.30.160.60 (GENE3D); IPR013087 (PFAM); IPR013087 (PROSITE_PROFILES); IPR013087 (PROSITE_PROFILES); IPR036236 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126272091	voltage-dependent L-type calcium channel subunit beta-1 isoform X2	29946	20	2.42E-131	88.0	3	P:GO:0070588; F:GO:0005245; C:GO:0005891	P:calcium ion transmembrane transport; F:voltage-gated calcium channel activity; C:voltage-gated calcium channel complex			IPR000584 (PRINTS); IPR008145 (PFAM); IPR027417 (G3DSA:3.40.50.GENE3D); IPR027417 (SUPERFAMILY)	P:GO:0070588; F:GO:0005245; C:GO:0005891	P:calcium ion transmembrane transport; F:voltage-gated calcium channel activity; C:voltage-gated calcium channel complex
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126272090	laminin subunit alpha-1	9690	2	0.0	99.23	4	P:GO:0030155; P:GO:0030334; P:GO:0045995; F:GO:0005102	P:regulation of cell adhesion; P:regulation of cell migration; P:regulation of embryonic development; F:signaling receptor binding			PR00011 (PRINTS); G3DSA:2.60.120.260:FF:000017 (FUNFAM); G3DSA:2.10.25.10:FF:000188 (FUNFAM); G3DSA:2.10.25.10:FF:000074 (FUNFAM); G3DSA:2.10.25.10:FF:000033 (FUNFAM); G3DSA:2.10.25.10:FF:000512 (FUNFAM); G3DSA:2.10.25.10:FF:000069 (FUNFAM); G3DSA:2.60.120.200:FF:000200 (FUNFAM); G3DSA:2.10.25.10:FF:000189 (FUNFAM); G3DSA:2.10.25.10:FF:000034 (FUNFAM); G3DSA:2.10.25.10:FF:000065 (FUNFAM); G3DSA:2.10.25.10:FF:000090 (FUNFAM); G3DSA:2.10.25.10:FF:000082 (FUNFAM); G3DSA:2.10.25.10:FF:000242 (FUNFAM); G3DSA:2.10.25.10:FF:000106 (FUNFAM); G3DSA:2.60.120.260 (GENE3D); IPR008211 (PFAM); G3DSA:2.60.120.200 (GENE3D); IPR002049 (PFAM); IPR001791 (PFAM); IPR009254 (PFAM); G3DSA:2.60.120.200 (GENE3D); G3DSA:2.10.25.10 (GENE3D); IPR000034 (PFAM); G3DSA:2.10.25.10 (GENE3D); G3DSA:2.60.120.200 (GENE3D); G3DSA:2.10.25.10 (GENE3D); G3DSA:2.60.120.200 (GENE3D); G3DSA:2.10.25.10 (GENE3D); G3DSA:2.60.120.200 (GENE3D); G3DSA:2.10.25.10 (GENE3D); G3DSA:2.10.25.10 (GENE3D); IPR002049 (PROSITE_PROFILES); IPR002049 (PROSITE_PROFILES); IPR002049 (PROSITE_PROFILES); IPR002049 (PROSITE_PROFILES); IPR002049 (PROSITE_PROFILES); IPR000034 (PROSITE_PROFILES); IPR000034 (PROSITE_PROFILES); IPR002049 (PROSITE_PROFILES); IPR002049 (PROSITE_PROFILES); IPR002049 (PROSITE_PROFILES); IPR002049 (PROSITE_PROFILES); IPR001791 (PROSITE_PROFILES); IPR001791 (PROSITE_PROFILES); IPR008211 (PROSITE_PROFILES); IPR002049 (PROSITE_PROFILES); IPR001791 (PROSITE_PROFILES); IPR001791 (PROSITE_PROFILES); IPR002049 (PROSITE_PROFILES); IPR001791 (PROSITE_PROFILES); IPR002049 (PROSITE_PROFILES); IPR001791 (CDD); IPR002049 (CDD); IPR002049 (CDD); IPR001791 (CDD); IPR002049 (CDD); IPR001791 (CDD); IPR002049 (CDD); IPR002049 (CDD); IPR002049 (CDD); IPR002049 (CDD); IPR002049 (CDD); IPR002049 (CDD); IPR002049 (CDD); IPR002049 (CDD); IPR001791 (CDD); IPR002049 (CDD); IPR002049 (CDD); IPR002049 (CDD); IPR001791 (CDD); IPR002049 (CDD); IPR002049 (CDD); SSF57196 (SUPERFAMILY); IPR013320 (SUPERFAMILY); SSF57196 (SUPERFAMILY); SSF57196 (SUPERFAMILY); SSF57196 (SUPERFAMILY); SSF57196 (SUPERFAMILY); IPR013320 (SUPERFAMILY); SSF57196 (SUPERFAMILY); IPR013320 (SUPERFAMILY); SSF57196 (SUPERFAMILY); SSF57196 (SUPERFAMILY); IPR013320 (SUPERFAMILY); SSF57196 (SUPERFAMILY); SSF57196 (SUPERFAMILY); SSF57196 (SUPERFAMILY); IPR013320 (SUPERFAMILY); SSF57196 (SUPERFAMILY)	P:GO:0030155; P:GO:0030334; P:GO:0045995; F:GO:0005102	P:regulation of cell adhesion; P:regulation of cell migration; P:regulation of embryonic development; F:signaling receptor binding
true	[INTERPRO, NO-BLAST]	LOC126273438	---NA---	1656									no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	LOC126273439	---NA---	873									no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	LOC126273440	---NA---	840									no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	LOC126273441	---NA---	759									no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	LOC126273442	---NA---	7110									no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	LOC126273443	---NA---	1656									no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	LOC126273444	---NA---	840									no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	LOC126273445	---NA---	1536									no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	LOC126273446	---NA---	2991									no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	LOC126273447	---NA---	2802									no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	LOC126273448	---NA---	1188									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126273449	uncharacterized protein LOC126273449	1077	1	9.16E-68	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126273450	uncharacterized protein LOC126273450	1152	1	2.7E-15	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED]	LOC126272400	uncharacterized protein LOC126272400 isoform X2	2091	12	1.42E-107	71.98	1	C:GO:0016020	C:membrane			IPR035914 (G3DSA:2.60.120.GENE3D); IPR035914 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	LOC126272355	uncharacterized protein LOC126272355	549	1	5.81E-96	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126278368	protein DEK-like	483	10	8.89E-40	99.27						G3DSA:1.10.10.60:FF:000148 (FUNFAM); G3DSA:1.10.10.60 (GENE3D); IPR014876 (PFAM); IPR014876 (PROSITE_PROFILES); SSF109715 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	LOC126278235	uncharacterized protein LOC126278235	537	1	4.67E-38	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126278388	lipase 3-like	1197	6	3.17E-299	96.24	1	P:GO:0006629	P:lipid metabolic process			G3DSA:3.40.50.1820:FF:000057 (FUNFAM); IPR029058 (G3DSA:3.40.50.GENE3D); IPR006693 (PFAM); PIRSR000862-1 (PIRSR); IPR029058 (SUPERFAMILY)	P:GO:0006629	P:lipid metabolic process
true	[INTERPRO, NO-BLAST]	LOC126278237	---NA---	1413									no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	LOC126278238	---NA---	1410									no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	LOC126278239	---NA---	1062									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126278241	uncharacterized protein LOC126278241	1137	1	3.15E-4	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	LOC126278242	---NA---	1146									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126278248	U1 small nuclear ribonucleoprotein 70 kDa-like	1065	1	8.07E-4	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	LOC126278250	---NA---	1065									no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	LOC126278252	---NA---	1281									no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	LOC126278266	---NA---	1116									no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	LOC126278269	---NA---	1668									no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	LOC126278271	---NA---	1338									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126278272	U1 small nuclear ribonucleoprotein 70 kDa-like	795	2	1.83E-7	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	LOC126278273	---NA---	1131									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126278274	U1 small nuclear ribonucleoprotein 70 kDa-like	792	2	9.61E-6	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	LOC126278275	---NA---	1131									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126278276	U1 small nuclear ribonucleoprotein 70 kDa-like	792	2	9.61E-6	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	LOC126278277	---NA---	930									IPR028994 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	LOC126278278	---NA---	792									no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	LOC126278280	---NA---	792									no IPS match	no IPS match	no IPS match
true	[INTERPRO, NO-BLAST]	LOC126278281	---NA---	1098									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126278283	U1 small nuclear ribonucleoprotein 70 kDa-like	1269	1	7.69E-4	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126278487	lipase 3-like	651	11	4.16E-133	83.7						IPR029058 (G3DSA:3.40.50.GENE3D); IPR029058 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126279038	G-protein coupled receptor Mth2-like	4932	11	0.0	79.71	4	P:GO:0007166; P:GO:0007186; F:GO:0004930; C:GO:0016020	P:cell surface receptor signaling pathway; P:G protein-coupled receptor signaling pathway; F:G protein-coupled receptor activity; C:membrane			G3DSA:1.20.1070.10 (GENE3D); IPR000832 (PFAM); IPR017981 (PROSITE_PROFILES); IPR017981 (PROSITE_PROFILES); cd15039 (CDD); cd15039 (CDD)	P:GO:0007166; P:GO:0007186; F:GO:0004888; F:GO:0004930; C:GO:0016020	P:cell surface receptor signaling pathway; P:G protein-coupled receptor signaling pathway; F:transmembrane signaling receptor activity; F:G protein-coupled receptor activity; C:membrane
true	[INTERPRO, BLASTED]	LOC126278286	uncharacterized protein LOC126278286	1053	1	1.68E-113	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126279040	serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform	1773	1	3.14E-210	100.0	1	F:GO:0005515	F:protein binding			G3DSA:1.25.10.10:FF:000011 (FUNFAM); IPR011989 (G3DSA:1.25.10.GENE3D); IPR000357 (PFAM); IPR021133 (PROSITE_PROFILES); IPR021133 (PROSITE_PROFILES); IPR021133 (PROSITE_PROFILES); IPR021133 (PROSITE_PROFILES); IPR021133 (PROSITE_PROFILES); IPR021133 (PROSITE_PROFILES); IPR021133 (PROSITE_PROFILES); IPR021133 (PROSITE_PROFILES); IPR021133 (PROSITE_PROFILES); IPR021133 (PROSITE_PROFILES); IPR021133 (PROSITE_PROFILES); IPR016024 (SUPERFAMILY)	F:GO:0005515	F:protein binding
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126279039	cGMP-dependent 3',5'-cyclic phosphodiesterase-like	2157	4	0.0	99.97	3	P:GO:0007165; F:GO:0004114; F:GO:0005515	P:signal transduction; F:3',5'-cyclic-nucleotide phosphodiesterase activity; F:protein binding			IPR023088 (PRINTS); G3DSA:1.10.1300.10:FF:000003 (FUNFAM); G3DSA:3.30.450.40:FF:000007 (FUNFAM); IPR003018 (PFAM); IPR029016 (G3DSA:3.30.450.GENE3D); IPR002073 (PFAM); IPR029016 (G3DSA:3.30.450.GENE3D); IPR036971 (G3DSA:1.10.1300.GENE3D); PIRSR623088-1 (PIRSR); PIRSR623088-2 (PIRSR); PIRSR623088-3 (PIRSR); IPR002073 (PROSITE_PROFILES); IPR003607 (CDD); SSF55781 (SUPERFAMILY); SSF109604 (SUPERFAMILY); SSF55781 (SUPERFAMILY)	P:GO:0007165; F:GO:0004114; F:GO:0005515; F:GO:0008081	P:signal transduction; F:3',5'-cyclic-nucleotide phosphodiesterase activity; F:protein binding; F:phosphoric diester hydrolase activity
true	[INTERPRO, BLASTED]	LOC126279042	medium-chain acyl-CoA ligase ACSF2, mitochondrial-like isoform X1	3381	14	2.67E-267	57.12						IPR000873 (PFAM); G3DSA:3.40.50.980 (GENE3D); SSF56801 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	LOC126277972	treacle protein-like	5817	1	0.0	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126278216	origin recognition complex subunit 6	732	7	3.69E-170	99.24	3	P:GO:0006260; F:GO:0003677; C:GO:0005664	P:DNA replication; F:DNA binding; C:nuclear origin of replication recognition complex			G3DSA:1.10.472.10 (GENE3D); IPR008721 (PFAM); IPR036915 (SUPERFAMILY)	P:GO:0006260; F:GO:0003677; C:GO:0005664	P:DNA replication; F:DNA binding; C:nuclear origin of replication recognition complex
true	[INTERPRO, BLASTED]	LOC126278217	uncharacterized protein LOC126278217	333	1	1.44E-75	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126279134	protein mothers against dpp	10263	5	7.8E-126	49.99	2	P:GO:0006355; C:GO:0005667	P:regulation of DNA-templated transcription; C:transcription regulator complex			IPR036578 (G3DSA:3.90.520.GENE3D); IPR003619 (PFAM); IPR013019 (PROSITE_PROFILES); IPR036578 (SUPERFAMILY)	P:GO:0006355; C:GO:0005667	P:regulation of DNA-templated transcription; C:transcription regulator complex
true	[INTERPRO, BLASTED]	LOC126279135	protein FAM151B isoform X1	2178	10	6.8E-140	97.23						IPR019356 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	LOC126279044	uncharacterized protein LOC126279044	618	1	8.53E-148	100.0						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126278187	protein croquemort-like isoform X2	6567	20	7.86E-109	46.62	1	C:GO:0016020	C:membrane			IPR002159 (PFAM); PIRSR022993-1 (PIRSR)	C:GO:0016020	C:membrane
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126278084	protein croquemort-like	4383	14	2.51E-114	72.97	1	C:GO:0016020	C:membrane			IPR002159 (PFAM)	C:GO:0016020	C:membrane
true	[INTERPRO, BLASTED, MAPPED]	LOC126278540	intraflagellar transport protein 57 homolog isoform X1	3651	20	1.74E-143	47.71	2	C:GO:0031514; C:GO:0042995	C:motile cilium; C:cell projection			IPR019530 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126278541	protein cornichon homolog 4	468	5	9.48E-116	99.87	1	P:GO:0016192	P:vesicle-mediated transport			IPR003377 (PFAM)	P:GO:0016192	P:vesicle-mediated transport
true	[INTERPRO, BLASTED]	LOC126278546	uncharacterized protein LOC126278546	1239	10	4.04E-300	98.3						G3DSA:3.90.1200.10 (GENE3D); IPR004119 (PFAM); IPR011009 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	LOC126278604	uncharacterized protein LOC126278604	876	6	2.02E-207	99.35						G3DSA:2.60.40.10:FF:000437 (FUNFAM); IPR013783 (G3DSA:2.60.40.GENE3D); IPR007110 (PROSITE_PROFILES); IPR036179 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	LOC126278572	uncharacterized protein LOC126278572	1182	3	2.03E-288	99.58						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126278144	uncharacterized protein LOC126278144	852	7	7.02E-204	98.79						IPR013783 (G3DSA:2.60.40.GENE3D); IPR036179 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	LOC126278306	nucleolar protein 58-like	948	2	1.31E-65	97.73						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126278134	40S ribosomal protein S7	513	20	6.99E-114	97.19	3	P:GO:0006412; F:GO:0003735; C:GO:0005840	P:translation; F:structural constituent of ribosome; C:ribosome			IPR000554 (PFAM)	P:GO:0006412; F:GO:0003735; C:GO:0005840	P:translation; F:structural constituent of ribosome; C:ribosome
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126278112	40S ribosomal protein S7	513	20	6.99E-114	97.19	3	P:GO:0006412; F:GO:0003735; C:GO:0005840	P:translation; F:structural constituent of ribosome; C:ribosome			IPR000554 (PFAM)	P:GO:0006412; F:GO:0003735; C:GO:0005840	P:translation; F:structural constituent of ribosome; C:ribosome
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	LOC126278113	40S ribosomal protein S7	513	20	6.99E-114	97.19	3	P:GO:0006412; F:GO:0003735; C:GO:0005840	P:translation; F:structural constituent of ribosome; C:ribosome			IPR000554 (PFAM)	P:GO:0006412; F:GO:0003735; C:GO:0005840	P:translation; F:structural constituent of ribosome; C:ribosome
true	[INTERPRO, BLASTED]	LOC126278311	testis-specific gene A8 protein-like	609	2	8.53E-142	98.52						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	LOC126278425	XP_049847973.1 bursicon-like	528	2	2.34E-128	99.15						IPR004133 (PFAM); IPR029034 (G3DSA:2.10.90.GENE3D); IPR006207 (PROSITE_PROFILES)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	LOC126278315	uncharacterized protein LOC126278315	5376	8	0.0	95.25						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, MAPPED]	LOC126278208	XP_049834097.1 derlin-1	1494	6	1.65E-152	62.16	4	P:GO:0006950; C:GO:0005783; C:GO:0005789; C:GO:0016020	P:response to stress; C:endoplasmic reticulum; C:endoplasmic reticulum membrane; C:membrane			IPR007599 (PFAM); IPR035952 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	LOC126278967	insulin-degrading enzyme	2946	5	0.0	99.71	1	F:GO:0046872	F:metal ion binding			G3DSA:3.30.830.10:FF:000003 (FUNFAM); G3DSA:3.30.830.10:FF:000004 (FUNFAM); G3DSA:3.30.830.10:FF:000005 (FUNFAM); G3DSA:3.30.830.10 (GENE3D); IPR007863 (PFAM); IPR011765 (PFAM); IPR032632 (PFAM); G3DSA:3.30.830.10 (GENE3D); G3DSA:3.30.830.10 (GENE3D); IPR011249 (SUPERFAMILY); IPR011249 (SUPERFAMILY); IPR011249 (SUPERFAMILY)	F:GO:0046872	F:metal ion binding
