"gene_id","Preferred_name","Description","PFAMs","theme","term_group","matched_pattern"
"LOC126285288","-","Catalyzes the reduction of fatty acyl-CoA to fatty alcohols","NAD_binding_4,Sterile","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126285031","-","Catalyzes the reduction of fatty acyl-CoA to fatty alcohols","NAD_binding_4,Sterile","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126285290","-","Catalyzes the reduction of fatty acyl-CoA to fatty alcohols","NAD_binding_4,Sterile","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126285033","inaE","Lipase (class 3)","Lipase_3","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126285464","-","Catalyzes the reduction of fatty acyl-CoA to fatty alcohols","NAD_binding_4,Sterile","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126285320","-","Phosphotransferase activity, for other substituted phosphate groups. It is involved in the biological process described with phospholipid biosynthetic process","CDP-OH_P_transf","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126285451","-","Platelet-activating factor acetylhydrolase IB subunit beta","Lipase_GDSL_2","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126284874","-","Catalyzes the reduction of fatty acyl-CoA to fatty alcohols","-","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126284024","-","Catalyzes the reduction of fatty acyl-CoA to fatty alcohols","NAD_binding_4,Sterile","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126284541","-","Catalyzes the reduction of fatty acyl-CoA to fatty alcohols","NAD_binding_4,Sterile","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126284894","-","Catalyzes the reduction of fatty acyl-CoA to fatty alcohols","NAD_binding_4,Sterile","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126285116","-","It is involved in the biological process described with phospholipid metabolic process","Phospholip_A2_2","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126284614","-","Belongs to the type-B carboxylesterase lipase family","COesterase","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126284852","-","Catalyzes the formation of phosphatidylethanolamine (PtdEtn) from phosphatidylserine (PtdSer). Plays a central role in phospholipid metabolism and in the interorganelle trafficking of phosphatidylserine","PS_Dcarbxylase","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126284243","-","flavin adenine dinucleotide binding. It is involved in the biological process described with oxidation-reduction process","Acyl-CoA_dh_1,Acyl-CoA_dh_M,Acyl-CoA_dh_N","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126284662","-","Catalyzes the reduction of fatty acyl-CoA to fatty alcohols","NAD_binding_4,Sterile","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126283941","-","Catalyzes the reduction of fatty acyl-CoA to fatty alcohols","NAD_binding_4,Sterile","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126284525","-","Catalyzes the reduction of fatty acyl-CoA to fatty alcohols","NAD_binding_4,Sterile","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126284730","-","It is involved in the biological process described with phospholipid metabolic process","Phospholip_A2_2","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126284347","-","Catalyzes the reduction of fatty acyl-CoA to fatty alcohols","NAD_binding_4,Sterile","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126284582","-","Catalyzes the reduction of fatty acyl-CoA to fatty alcohols","NAD_binding_4,Sterile","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126284782","-","Catalyzes the reduction of fatty acyl-CoA to fatty alcohols","NAD_binding_4,Sterile","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126285378","-","acetyl-CoA carboxylase activity. It is involved in the biological process described with fatty acid biosynthetic process","ACC_central,Biotin_carb_C,Biotin_carb_N,Biotin_lipoyl,CPSase_L_D2,Carboxyl_trans","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126284461","-","Acyl-CoA dehydrogenase, C-terminal domain","Acyl-CoA_dh_1,Acyl-CoA_dh_M,Acyl-CoA_dh_N","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126285263","-","Catalyzes the reduction of fatty acyl-CoA to fatty alcohols","NAD_binding_4,Sterile","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126285457","-","Catalyzes the reduction of fatty acyl-CoA to fatty alcohols","NAD_binding_4,Sterile","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126285274","-","Lipase","Lipase","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126291637","-","Belongs to the type-B carboxylesterase lipase family","-","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126292028","-","Domain involved in innate immunity and lipid metabolism.","E1_DerP2_DerF2","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126292204","-","Belongs to the type-B carboxylesterase lipase family","-","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126292206","-","Belongs to the type-B carboxylesterase lipase family","-","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126292205","-","Belongs to the type-B carboxylesterase lipase family","-","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126292210","-","Belongs to the type-B carboxylesterase lipase family","-","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126292208","-","Belongs to the type-B carboxylesterase lipase family","-","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126292207","-","Belongs to the type-B carboxylesterase lipase family","-","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126292277","-","Domain involved in innate immunity and lipid metabolism.","-","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126291945","-","Belongs to the AB hydrolase superfamily. Lipase family","-","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126291772","-","Phosphatidylinositol phospholipase C activity. It is involved in the biological process described with intracellular signal transduction","C2,DUF1154,EF-hand_like,PI-PLC-X,PI-PLC-Y","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126292012","-","Domain involved in innate immunity and lipid metabolism.","-","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126291607","-","fatty-acyl-CoA binding. It is involved in the biological process described with transport","ACBP,GOLD_2","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126293459","-","Phospholipase A2","Phospholip_A2_1","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126293695","Ace","Belongs to the type-B carboxylesterase lipase family","COesterase","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126293599","-","Fatty acid hydroxylase superfamily","FA_hydroxylase","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126295076","-","binding. It is involved in the biological process described with RNA processing","DNA_pol_A_exo1,HRDC,Lipase,PMC2NT","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126298412","-","Lipid transporter activity. It is involved in the biological process described with lipid transport","DUF1943,Vitellogenin_N","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126299565","-","Lipid transporter activity. It is involved in the biological process described with lipid transport","DUF1081,DUF1943,VWD,Vitellogenin_N","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126298898","-","Carboxylic ester hydrolase activity","Lipase","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126298804","-","phosphatidylinositol phospholipase C activity","-","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126298385","-","phosphatidylinositol phospholipase C activity","-","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126298384","-","phosphatidylinositol phospholipase C activity","-","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126299083","-","Essential subunit of the N-oligosaccharyl transferase (OST) complex which catalyzes the transfer of a high mannose oligosaccharide from a lipid-linked oligosaccharide donor to an asparagine residue within an Asn-X-Ser Thr consensus motif in nascent polypeptide chains","DNA_repr_REX1B,Ribophorin_I","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126297752","-","Lipase","Lipase","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126297673","-","Elongation of very long chain fatty acids protein","ELO","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126298530","-","Elongation of very long chain fatty acids protein","ELO","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126299094","-","Elongation of very long chain fatty acids protein","ELO","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126299186","-","Elongation of very long chain fatty acids protein","ELO","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126299257","-","Elongation of very long chain fatty acids protein","ELO","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126298001","-","Elongation of very long chain fatty acids protein","ELO","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126297421","-","Carboxylic ester hydrolase activity. It is involved in the biological process described with lipid metabolic process","-","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126297463","sws","Phospholipase B that deacylates intracellular phosphatidylcholine (PtdCho), generating glycerophosphocholine (GroPtdCho). This deacylation occurs at both sn-2 and sn-1 positions of PtdCho. Its specific chemical modification by certain organophosphorus (OP) compounds leads to distal axonopathy. Plays a role in the signaling mechanism between neurons and glia that regulates glia wrapping during development of the adult brain. Essential for membrane lipid homeostasis and cell survival in both neurons and glia of the adult brain","Patatin,cNMP_binding","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126299060","-","Acyl-CoA dehydrogenase, N-terminal domain","Acyl-CoA_dh_M,Acyl-CoA_dh_N","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126297497","-","Phosphoric diester hydrolase activity. It is involved in the biological process described with lipid metabolic process","Varsurf_PPLC","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126299036","Esyt2","Synaptotagmin-like mitochondrial-lipid-binding domain","C2,SMP_LBD","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126297759","-","flavin adenine dinucleotide binding. It is involved in the biological process described with oxidation-reduction process","Acyl-CoA_dh_1,Acyl-CoA_dh_M,Acyl-CoA_dh_N","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126297760","-","flavin adenine dinucleotide binding. It is involved in the biological process described with oxidation-reduction process","Acyl-CoA_dh_1,Acyl-CoA_dh_M,Acyl-CoA_dh_N","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126298579","-","lipid binding","MENTAL,START","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126299283","-","Glycolipid transfer protein (GLTP)","GLTP","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126297846","-","calcium-dependent phospholipid binding","Annexin","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126299241","-","Lipase","Lipase","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126299372","-","Phosphoric diester hydrolase activity. It is involved in the biological process described with lipid metabolic process","Varsurf_PPLC","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126297817","-","It is involved in the biological process described with lipid metabolic process","Abhydro_lipase,Abhydrolase_1","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126299452","VhaPPA1-1","Belongs to the V-ATPase proteolipid subunit family","ATP-synt_C","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126298607","por","Protein-serine O-palmitoleoyltransferase that acts as a key regulator of the Wnt signaling pathway by mediating the attachment of palmitoleate, a 16-carbon monounsaturated fatty acid (C16 1), to Wnt proteins. Serine palmitoleylation of Wnt proteins is required for efficient binding to frizzled receptors","MBOAT","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126297886","-","Phosphoric diester hydrolase activity. It is involved in the biological process described with lipid metabolic process","Varsurf_PPLC","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126299332","-","Lipid transporter activity. It is involved in the biological process described with lipid transport","DUF1081,DUF1943,VWD,Vitellogenin_N","Energy stores and starvation resistance","Lipid transport/storage","lipophorin|apolipophorin|lipid|fatty acid|triacylglycerol|triglyceride|acyl-coa|beta-oxidation|lipase"
"LOC126345893","Pfk","Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis","PFK","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126354687","-","Trehalase","Trehalase","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126361126","-","Glucose dehydrogenase FAD, quinone -like","GMC_oxred_C,GMC_oxred_N","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126266955","-","Facilitated trehalose transporter Tret1-like","-","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126267024","-","Facilitated trehalose transporter Tret1-like","-","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126267135","-","Facilitated trehalose transporter Tret1-like","-","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126300409","-","Facilitated trehalose transporter Tret1-like","-","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126300575","-","Facilitated trehalose transporter Tret1-like","-","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126267969","Pfk","Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis","PFK","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126272566","-","Di-glucose binding within endoplasmic reticulum","Malectin","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126272587","-","facilitative transporter for trehalose. Does not transport maltose, sucrose or lactose. Mediates the bidirectional transfer of trehalose. Responsible for the transport of trehalose synthesized in the fat body and the incorporation of trehalose into other tissues that require a carbon source, thereby regulating trehalose levels in the hemolymph","Sugar_tr","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126336843","-","UDP-glucose glycoprotein glucosyltransferase activity. It is involved in the biological process described with protein glycosylation","Cation_efflux,Glyco_transf_8,UDP-g_GGTase","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126335825","-","Trehalose receptor","Trehalose_recp","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126330639","-","Glucose dehydrogenase","GMC_oxred_C,GMC_oxred_N","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126335028","-","Trehalase","Trehalase","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126335507","UGP","UTP glucose-1-phosphate uridylyltransferase activity. It is involved in the biological process described with UDP-glucose metabolic process","UDPGP","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126267681","-","Facilitated trehalose transporter Tret1-like","-","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126267682","-","Facilitated trehalose transporter Tret1-like","-","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126267480","-","Facilitated trehalose transporter Tret1-like","-","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126267683","-","Facilitated trehalose transporter Tret1-like","-","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126267332","-","Facilitated trehalose transporter Tret1-like","-","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126267019","-","Catalyzes the phosphorylation of ribose at O-5 in a reaction requiring ATP and magnesium. The resulting D-ribose-5- phosphate can then be used either for sythesis of nucleotides, histidine, and tryptophan, or as a component of the pentose phosphate pathway","PfkB","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126365855","-","Facilitated trehalose transporter Tret1-like","-","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126267192","-","Facilitated trehalose transporter Tret1-like","-","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126267109","-","Facilitated trehalose transporter Tret1-like","-","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126267201","-","Facilitated trehalose transporter Tret1-like","-","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126267199","-","Facilitated trehalose transporter Tret1-like","-","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126267198","-","Facilitated trehalose transporter Tret1-like","-","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126267156","-","Facilitated trehalose transporter Tret1-like","-","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126272019","-","Trehalase","Trehalase","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126273150","-","Trehalase","Trehalase","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126272185","-","Trehalase","Trehalase","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
"LOC126272558","-","Trehalase","Trehalase","Energy stores and starvation resistance","Carbohydrate stores","glycogen|trehalose|trehalase|glucose|glycolysis|gluconeogenesis|pentose phosphate|citrate cycle|tca cycle"
