"gene_id","n_deg_contrasts","has_infection_deg","comparison_types","comparisons","directions","max_abs_log2FC","min_padj","deg_priority_score","Preferred_name","Description","GOs","KEGG_ko","KEGG_Pathway","PFAMs","n_phase_tissues","phase_tissues","phase_directions","phase_mean_log2FC","phase_max_abs_log2FC","head_phase_log2FC","thorax_phase_log2FC","head_phase_padj","thorax_phase_padj","phase_consensus","phase_class"
"LOC126354265",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",1.1577146797528,6.11672598870896e-06,21.3711956539317,"unannotated","Transferase activity, transferring glycosyl groups",NA,"ko:K00731","ko00512,ko01100,map00512,map01100","Fringe",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126279122",1,TRUE,"Infection within diet","Diet 33: infected vs control","Downregulated",1.71088316822515,1.02354790595184e-05,21.7007749941102,"CAH1","It is involved in the biological process described with one-carbon metabolic process","GO:0003674,GO:0003824,GO:0004089,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006730,GO:0008150,GO:0008152,GO:0009987,GO:0016829,GO:0016835,GO:0016836,GO:0044237,GO:0044281,GO:0044424,GO:0044464","ko:K01672","ko00910,map00910","Carb_anhydrase",1,"Thorax","Gregarious-up",1.10691294920423,1.10691294920423,NA,1.10691294920423,NA,2.26294441638929e-14,"Gregarious-up","Thorax phase DEG only"
"LOC126282165",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",1.25654927241083,1.45449147067052e-05,21.0938380935803,"unannotated","Leucine rich repeat C-terminal domain",NA,NA,NA,"I-set,Ig_3,LRR_8",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126336694",1,TRUE,"Infection within diet","Diet 83: infected vs control","Upregulated",1.19170703802633,1.86140025775353e-05,20.9218672683115,"Hip1","I/LWEQ domain","GO:0003674,GO:0003779,GO:0005488,GO:0005515,GO:0008092","ko:K04559","ko05016,map05016","ANTH,I_LWEQ",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126365918",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",1.57719604140369,1.8932431009983e-05,21.2999896584787,"PGRPLA","Animal peptidoglycan recognition proteins homologous to Bacteriophage T3 lysozyme.","GO:0000270,GO:0002376,GO:0003674,GO:0005488,GO:0005539,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006022,GO:0006026,GO:0006027,GO:0006807,GO:0006950,GO:0006952,GO:0006955,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009253,GO:0009605,GO:0009607,GO:0009617,GO:0016020,GO:0016021,GO:0030203,GO:0031224,GO:0031226,GO:0042834,GO:0043170,GO:0043207,GO:0044425,GO:0044459,GO:0044464,GO:0045087,GO:0050896,GO:0051704,GO:0051707,GO:0071704,GO:0071944,GO:0097367,GO:1901135,GO:1901136,GO:1901564,GO:1901565,GO:1901575","ko:K01446",NA,"Amidase_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126272746",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",1.11949495325222,1.90487226070731e-05,20.8396290957235,"unannotated","zinc ion binding. It is involved in the biological process described with steroid hormone mediated signaling pathway","GO:0000981,GO:0003674,GO:0003700,GO:0004879,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006325,GO:0006342,GO:0006355,GO:0006357,GO:0006629,GO:0006996,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0009056,GO:0009719,GO:0009725,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010033,GO:0010243,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0016042,GO:0016043,GO:0016458,GO:0019219,GO:0019222,GO:0023052,GO:0030258,GO:0030522,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0032868,GO:0032869,GO:0032870,GO:0033500,GO:0034401,GO:0034440,GO:0040029,GO:0042221,GO:0042592,GO:0042593,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043434,GO:0044237,GO:0044238,GO:0044255,GO:0044424,GO:0044464,GO:0045814,GO:0045892,GO:0045934,GO:0048519,GO:0048523,GO:0048878,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0051276,GO:0051716,GO:0055114,GO:0060255,GO:0065007,GO:0065008,GO:0070828,GO:0070868,GO:0070887,GO:0071310,GO:0071375,GO:0071417,GO:0071495,GO:0071704,GO:0071840,GO:0080090,GO:0097549,GO:0098531,GO:0140110,GO:1901575,GO:1901652,GO:1901653,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:1902679,GO:1903506,GO:1903507,GO:2000112,GO:2000113,GO:2001141","ko:K08704",NA,"Hormone_recep,zf-C4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126282679",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",2.41059246909498,1.91431134788309e-05,22.1285798952827,"unannotated","Kazal-type serine protease inhibitor domain",NA,NA,NA,"Kazal_1,Kazal_2",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126268155",1,TRUE,"Infection within diet","Diet 83: infected vs control","Upregulated",1.52115548537664,2.06601746586299e-05,21.2060214967042,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126267876",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",2.90198335989764,2.56814146986307e-05,22.4923644160894,"LYSC6","C-Type Lysozyme (multi-lysozyme domain protein)","GO:0003674,GO:0003796,GO:0003824,GO:0004553,GO:0005575,GO:0005576,GO:0005615,GO:0006950,GO:0006952,GO:0008150,GO:0008152,GO:0009056,GO:0009605,GO:0009607,GO:0009617,GO:0009987,GO:0016787,GO:0016798,GO:0016998,GO:0042742,GO:0043170,GO:0043207,GO:0044036,GO:0044237,GO:0044248,GO:0044260,GO:0044421,GO:0050829,GO:0050830,GO:0050896,GO:0051704,GO:0051707,GO:0061783,GO:0071554,GO:0071704,GO:0098542","ko:K01185,ko:K13915","ko04970,map04970","Lys",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126298001",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",1.96845378935516,3.2877848049823e-05,21.4515504053859,"unannotated","Elongation of very long chain fatty acids protein","GO:0000038,GO:0003674,GO:0003824,GO:0004312,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0006082,GO:0006629,GO:0006631,GO:0006633,GO:0006643,GO:0006665,GO:0006807,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009922,GO:0009987,GO:0012505,GO:0016020,GO:0016021,GO:0016053,GO:0016740,GO:0016746,GO:0016747,GO:0019367,GO:0019368,GO:0019752,GO:0030148,GO:0030176,GO:0030497,GO:0031224,GO:0031227,GO:0031984,GO:0032787,GO:0034625,GO:0034626,GO:0042175,GO:0042761,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0046394,GO:0046467,GO:0071704,GO:0072330,GO:0098827,GO:1901564,GO:1901566,GO:1901576","ko:K10250","ko00062,ko01110,map00062,map01110","ELO",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126293577",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",2.62168499261176,3.68919158424269e-05,22.0547537833543,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126354620",1,TRUE,"Infection within diet","Diet 33: infected vs control","Downregulated",2.34495208356215,4.27008791057993e-05,21.7145152673927,"unannotated","Catalyzes the reduction of fatty acyl-CoA to fatty alcohols","GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005777,GO:0005778,GO:0005779,GO:0006139,GO:0006163,GO:0006637,GO:0006725,GO:0006732,GO:0006753,GO:0006790,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009117,GO:0009150,GO:0009259,GO:0009987,GO:0010025,GO:0010166,GO:0016020,GO:0016021,GO:0016491,GO:0016620,GO:0016903,GO:0019637,GO:0019693,GO:0031090,GO:0031224,GO:0031231,GO:0031300,GO:0031301,GO:0031903,GO:0033865,GO:0033875,GO:0034032,GO:0034641,GO:0035336,GO:0035337,GO:0035383,GO:0042579,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043603,GO:0044237,GO:0044238,GO:0044281,GO:0044422,GO:0044424,GO:0044425,GO:0044438,GO:0044439,GO:0044444,GO:0044446,GO:0044464,GO:0046483,GO:0050062,GO:0051186,GO:0055086,GO:0055114,GO:0071704,GO:0072521,GO:0080019,GO:0098588,GO:0098805,GO:1901135,GO:1901360,GO:1901564,GO:1901568,GO:1901570,GO:1901576","ko:K13356","ko00073,ko04146,ko04212,map00073,map04146,map04212","NAD_binding_4,Sterile",1,"Thorax","Solitarious-up",-1.06945341841753,1.06945341841753,NA,-1.06945341841753,NA,1.15641034421815e-10,"Solitarious-up","Thorax phase DEG only"
"LOC126267422",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",3.16735739812943,4.78345811284331e-05,22.4876154227869,"unannotated","no description",NA,NA,NA,NA,1,"Thorax","Gregarious-up",1.53347763511559,1.53347763511559,NA,1.53347763511559,NA,3.96436081393261e-05,"Gregarious-up","Thorax phase DEG only"
"LOC126284336",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",4.93692315608115,4.81437306387802e-05,24.2543834155293,"unannotated","Pacifastin inhibitor (LCMII)",NA,NA,NA,"Pacifastin_I",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126335470",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",1.56384714797297,4.82560047483067e-05,20.8802957853855,"unannotated","Belongs to the serpin family",NA,NA,NA,NA,0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126356254",1,TRUE,"Infection within diet","Diet 50: infected vs control","Downregulated",1.06775525569436,4.96178065274568e-05,20.372117694349,"Mcm5","DNA helicase activity. It is involved in the biological process described with DNA replication initiation","GO:0000003,GO:0000280,GO:0000712,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006310,GO:0006323,GO:0006725,GO:0006807,GO:0006996,GO:0007049,GO:0007059,GO:0007127,GO:0007131,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016043,GO:0022402,GO:0022414,GO:0030261,GO:0034641,GO:0034645,GO:0035825,GO:0042023,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044786,GO:0045132,GO:0046483,GO:0048285,GO:0051276,GO:0051304,GO:0051307,GO:0051321,GO:0061982,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0098813,GO:0140013,GO:1901360,GO:1901576,GO:1903046","ko:K02209","ko03030,ko04110,ko04111,ko04113,map03030,map04110,map04111,map04113","MCM,MCM_N,MCM_OB",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126334943",1,TRUE,"Infection within diet","Diet 33: infected vs control","Downregulated",1.38638260866915,5.02950354313334e-05,20.6848574902372,"unannotated","Ion channel activity. It is involved in the biological process described with ion transport","GO:0003674,GO:0005215,GO:0005216,GO:0005217,GO:0005221,GO:0005244,GO:0005249,GO:0005261,GO:0005267,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0007154,GO:0007165,GO:0008150,GO:0008324,GO:0009987,GO:0015075,GO:0015077,GO:0015079,GO:0015267,GO:0015276,GO:0015318,GO:0015672,GO:0016020,GO:0016021,GO:0017071,GO:0019932,GO:0019935,GO:0022803,GO:0022832,GO:0022834,GO:0022836,GO:0022838,GO:0022839,GO:0022843,GO:0022857,GO:0022890,GO:0023052,GO:0030001,GO:0031224,GO:0031226,GO:0032991,GO:0034220,GO:0034702,GO:0034703,GO:0035556,GO:0042391,GO:0043855,GO:0044425,GO:0044459,GO:0044464,GO:0046873,GO:0050789,GO:0050794,GO:0050896,GO:0051179,GO:0051234,GO:0051716,GO:0055085,GO:0065007,GO:0065008,GO:0071804,GO:0071805,GO:0071944,GO:0098655,GO:0098660,GO:0098662,GO:0098796,GO:0099094,GO:1902495,GO:1990351","ko:K04952","ko04022,ko04024,ko04740,ko04744,map04022,map04024,map04740,map04744","Ion_trans,cNMP_binding",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126284338",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",6.92770639118743,5.20941750276193e-05,26.2109172263292,"unannotated","Pacifastin inhibitor (LCMII)",NA,NA,NA,NA,1,"Head","Gregarious-up",1.19558754994542,1.19558754994542,1.19558754994542,NA,0.00965890615171916,NA,"Gregarious-up","Head phase DEG only"
"LOC126277750",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",2.16704553547849,5.22273793707048e-05,21.4491473008227,"unannotated","7 transmembrane receptor (Secretin family)",NA,"ko:K04585,ko:K04586","ko04080,ko04961,map04080,map04961","7tm_2,HRM",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126313330",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",9.6507884397495,5.83026186104567e-05,28.8851003786006,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126291639",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",2.50208695090183,5.84994085683875e-05,21.7349354755339,"unannotated","C-type lectin (CTL) or carbohydrate-recognition domain (CRD)",NA,NA,NA,NA,0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126355691",1,TRUE,"Infection within diet","Diet 33: infected vs control","Upregulated",6.52501548476754,5.87854069037084e-05,25.7557459561025,"unannotated","Vault protein inter-alpha-trypsin domain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126346580",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",2.15667883442902,5.88780050747138e-05,21.3867257477688,"unannotated","Chitinase activity. It is involved in the biological process described with carbohydrate metabolic process","GO:0003674,GO:0003824,GO:0004553,GO:0004568,GO:0005102,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0006022,GO:0006026,GO:0006030,GO:0006032,GO:0006040,GO:0006807,GO:0006950,GO:0007275,GO:0007444,GO:0008061,GO:0008084,GO:0008144,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009611,GO:0009888,GO:0009987,GO:0016787,GO:0016798,GO:0017144,GO:0032501,GO:0032502,GO:0035295,GO:0040003,GO:0042060,GO:0042335,GO:0042737,GO:0043170,GO:0044237,GO:0044248,GO:0046348,GO:0048513,GO:0048731,GO:0048856,GO:0050896,GO:0060429,GO:0070851,GO:0071704,GO:0097367,GO:1901071,GO:1901072,GO:1901135,GO:1901136,GO:1901564,GO:1901565,GO:1901575",NA,NA,"Glyco_hydro_18",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126341237",1,TRUE,"Infection within diet","Diet 33: infected vs control","Downregulated",2.06488924187566,6.09999960264512e-05,21.2795594351549,"unannotated","Belongs to the UDP-glycosyltransferase family",NA,"ko:K00699","ko00040,ko00053,ko00140,ko00830,ko00860,ko00980,ko00982,ko00983,ko01100,ko01110,ko05204,map00040,map00053,map00140,map00830,map00860,map00980,map00982,map00983,map01100,map01110,map05204","UDPGT",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126341885",1,TRUE,"Infection within diet","Diet 50: infected vs control","Downregulated",1.77178866461151,6.35972625453326e-05,20.9683502421556,"unannotated","Signal transducer activity. It is involved in the biological process described with intracellular signal transduction","GO:0003674,GO:0005096,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0008047,GO:0008150,GO:0016020,GO:0030234,GO:0030695,GO:0043085,GO:0043087,GO:0043547,GO:0044093,GO:0044424,GO:0044464,GO:0050790,GO:0051336,GO:0051345,GO:0060589,GO:0065007,GO:0065009,GO:0071944,GO:0098772","ko:K16449",NA,"DEP,G-gamma,RGS",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126354929",1,TRUE,"Infection within diet","Diet 83: infected vs control","Downregulated",6.0828923115139,6.54118416848929e-05,25.2672359345525,"unannotated","no description",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126365745",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",4.31787638230635,6.70997028630745e-05,23.4911557853149,"Th","Biopterin-dependent aromatic amino acid hydroxylase","GO:0000003,GO:0003674,GO:0003824,GO:0004497,GO:0004511,GO:0006584,GO:0006725,GO:0006807,GO:0006950,GO:0007275,GO:0007444,GO:0007564,GO:0007591,GO:0007593,GO:0007610,GO:0007617,GO:0007618,GO:0007619,GO:0007626,GO:0008049,GO:0008150,GO:0008152,GO:0008344,GO:0009058,GO:0009266,GO:0009605,GO:0009611,GO:0009628,GO:0009712,GO:0009713,GO:0009888,GO:0009987,GO:0010632,GO:0016491,GO:0016705,GO:0016714,GO:0017144,GO:0018958,GO:0019098,GO:0019438,GO:0019953,GO:0021700,GO:0022404,GO:0022414,GO:0030334,GO:0030534,GO:0032501,GO:0032502,GO:0032504,GO:0032879,GO:0035220,GO:0035295,GO:0040011,GO:0040012,GO:0040040,GO:0042303,GO:0042330,GO:0042335,GO:0042416,GO:0042417,GO:0042423,GO:0043052,GO:0043473,GO:0044237,GO:0044249,GO:0044703,GO:0046189,GO:0048066,GO:0048067,GO:0048070,GO:0048079,GO:0048082,GO:0048085,GO:0048513,GO:0048609,GO:0048731,GO:0048856,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051239,GO:0051270,GO:0051704,GO:0055114,GO:0060179,GO:0060429,GO:0065007,GO:0071704,GO:0097164,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901615,GO:1901617,GO:2000026,GO:2000145,GO:2000274","ko:K00501","ko00350,ko00790,ko00950,ko01100,ko04728,ko04917,ko05012,ko05030,ko05031,ko05034,map00350,map00790,map00950,map01100,map04728,map04917,map05012,map05030,map05031,map05034","Biopterin_H,Ras",1,"Head","Solitarious-up",-1.20031464632672,1.20031464632672,-1.20031464632672,NA,0.039258800818071,NA,"Solitarious-up","Head phase DEG only"
"LOC126346336",1,TRUE,"Infection within diet","Diet 83: infected vs control","Downregulated",4.38919133276829,7.16893398394616e-05,23.5337367516206,"unannotated","no description",NA,NA,NA,NA,1,"Thorax","Solitarious-up",-1.07195645578306,1.07195645578306,NA,-1.07195645578306,NA,3.13255353377187e-05,"Solitarious-up","Thorax phase DEG only"
"LOC126272080",1,TRUE,"Infection within diet","Diet 50: infected vs control","Downregulated",1.60853689186331,7.2477647668691e-05,20.7483328024082,"unannotated","Arrestin domain-containing protein",NA,NA,NA,"Arrestin_C,Arrestin_N",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278149",1,TRUE,"Infection within diet","Diet 33: infected vs control","Downregulated",1.78449967764061,7.39471048985909e-05,20.9155785020282,"unannotated","Carboxylic ester hydrolase activity","GO:0003674,GO:0003824,GO:0006629,GO:0008150,GO:0008152,GO:0009056,GO:0016042,GO:0016298,GO:0016787,GO:0016788,GO:0044238,GO:0071704,GO:1901575",NA,NA,"Lipase",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
"LOC126278442",1,TRUE,"Infection within diet","Diet 50: infected vs control","Upregulated",2.2591956806977,7.75823201283772e-05,21.3694329175001,"dpp","Transforming growth  factor-beta (TGF-beta) family","GO:0000003,GO:0000578,GO:0001654,GO:0001655,GO:0001667,GO:0001700,GO:0001703,GO:0001704,GO:0001705,GO:0001708,GO:0001709,GO:0001712,GO:0001715,GO:0001745,GO:0001763,GO:0001932,GO:0001934,GO:0002009,GO:0002064,GO:0002065,GO:0002066,GO:0002164,GO:0002165,GO:0002376,GO:0002520,GO:0003002,GO:0003006,GO:0003156,GO:0003674,GO:0005102,GO:0005125,GO:0005126,GO:0005160,GO:0005488,GO:0005515,GO:0005518,GO:0005539,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0006355,GO:0006357,GO:0006915,GO:0006928,GO:0006935,GO:0006996,GO:0007154,GO:0007165,GO:0007166,GO:0007167,GO:0007178,GO:0007179,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007304,GO:0007306,GO:0007308,GO:0007309,GO:0007310,GO:0007313,GO:0007350,GO:0007351,GO:0007352,GO:0007354,GO:0007369,GO:0007378,GO:0007389,GO:0007391,GO:0007392,GO:0007393,GO:0007398,GO:0007423,GO:0007424,GO:0007425,GO:0007427,GO:0007440,GO:0007442,GO:0007443,GO:0007444,GO:0007446,GO:0007447,GO:0007448,GO:0007449,GO:0007455,GO:0007458,GO:0007472,GO:0007473,GO:0007474,GO:0007476,GO:0007479,GO:0007498,GO:0007507,GO:0007516,GO:0007548,GO:0007552,GO:0007560,GO:0008150,GO:0008201,GO:0008219,GO:0008285,GO:0008354,GO:0008360,GO:0008586,GO:0008595,GO:0009605,GO:0009653,GO:0009719,GO:0009790,GO:0009791,GO:0009792,GO:0009798,GO:0009880,GO:0009886,GO:0009887,GO:0009888,GO:0009889,GO:0009892,GO:0009893,GO:0009948,GO:0009950,GO:0009952,GO:0009953,GO:0009954,GO:0009966,GO:0009967,GO:0009987,GO:0009994,GO:0010002,GO:0010004,GO:0010033,GO:0010171,GO:0010468,GO:0010469,GO:0010556,GO:0010562,GO:0010604,GO:0010605,GO:0010623,GO:0010628,GO:0010629,GO:0010631,GO:0010646,GO:0010647,GO:0010668,GO:0010862,GO:0010927,GO:0010941,GO:0012501,GO:0016015,GO:0016043,GO:0016331,GO:0016477,GO:0017145,GO:0019219,GO:0019220,GO:0019222,GO:0019827,GO:0019953,GO:0021700,GO:0022412,GO:0022414,GO:0022603,GO:0022604,GO:0022607,GO:0023051,GO:0023052,GO:0023056,GO:0030097,GO:0030154,GO:0030509,GO:0030545,GO:0030703,GO:0030707,GO:0030718,GO:0030721,GO:0030855,GO:0031323,GO:0031325,GO:0031326,GO:0031399,GO:0031401,GO:0032268,GO:0032270,GO:0032501,GO:0032502,GO:0032504,GO:0032989,GO:0035026,GO:0035027,GO:0035028,GO:0035029,GO:0035051,GO:0035107,GO:0035114,GO:0035120,GO:0035146,GO:0035147,GO:0035150,GO:0035151,GO:0035152,GO:0035153,GO:0035156,GO:0035158,GO:0035159,GO:0035166,GO:0035167,GO:0035168,GO:0035214,GO:0035215,GO:0035217,GO:0035218,GO:0035220,GO:0035221,GO:0035222,GO:0035223,GO:0035224,GO:0035239,GO:0035263,GO:0035265,GO:0035282,GO:0035295,GO:0035296,GO:0035309,GO:0036098,GO:0036099,GO:0040007,GO:0040008,GO:0040011,GO:0042078,GO:0042127,GO:0042221,GO:0042325,GO:0042327,GO:0042330,GO:0042386,GO:0042802,GO:0042803,GO:0042981,GO:0043067,GO:0043167,GO:0043168,GO:0043408,GO:0043473,GO:0044085,GO:0044421,GO:0044464,GO:0044703,GO:0044877,GO:0045165,GO:0045476,GO:0045570,GO:0045595,GO:0045704,GO:0045705,GO:0045937,GO:0046620,GO:0046663,GO:0046843,GO:0046845,GO:0046982,GO:0046983,GO:0048018,GO:0048066,GO:0048100,GO:0048468,GO:0048469,GO:0048477,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048534,GO:0048542,GO:0048546,GO:0048563,GO:0048565,GO:0048569,GO:0048583,GO:0048584,GO:0048589,GO:0048592,GO:0048598,GO:0048599,GO:0048609,GO:0048619,GO:0048634,GO:0048636,GO:0048638,GO:0048646,GO:0048707,GO:0048729,GO:0048731,GO:0048732,GO:0048736,GO:0048737,GO:0048749,GO:0048754,GO:0048856,GO:0048863,GO:0048869,GO:0048870,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051093,GO:0051094,GO:0051128,GO:0051171,GO:0051173,GO:0051174,GO:0051179,GO:0051239,GO:0051240,GO:0051241,GO:0051246,GO:0051247,GO:0051252,GO:0051301,GO:0051674,GO:0051704,GO:0051716,GO:0055123,GO:0060255,GO:0060322,GO:0060323,GO:0060326,GO:0060393,GO:0060395,GO:0060429,GO:0060446,GO:0060541,GO:0060562,GO:0060795,GO:0061138,GO:0061318,GO:0061319,GO:0061320,GO:0061326,GO:0061327,GO:0061333,GO:0061334,GO:0061352,GO:0061353,GO:0061525,GO:0065007,GO:0065008,GO:0065009,GO:0070848,GO:0070887,GO:0071310,GO:0071363,GO:0071495,GO:0071559,GO:0071560,GO:0071772,GO:0071773,GO:0071840,GO:0072001,GO:0072002,GO:0072148,GO:0072359,GO:0080090,GO:0090066,GO:0090092,GO:0090100,GO:0090130,GO:0090132,GO:0090596,GO:0097367,GO:0098727,GO:0098772,GO:1901681,GO:1902531,GO:1902742,GO:1903506,GO:2000026,GO:2000027,GO:2000112,GO:2001141","ko:K04662,ko:K21283","ko04013,ko04060,ko04341,ko04350,ko04390,ko04550,ko04919,ko05200,ko05217,ko05418,map04013,map04060,map04341,map04350,map04390,map04550,map04919,map05200,map05217,map05418","TGF_beta,TGFb_propeptide",0,"None","No phase DEG",NA,NA,NA,NA,NA,NA,"No phase DEG","No phase DEG"
